,Opp_walks
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,4
828,4
829,3
830,3
831,7
832,4
833,0
834,0
835,0
836,3
837,2
838,1
839,4
840,2
841,5
842,4
843,1
844,5
845,4
846,2
847,4
848,4
849,2
850,3
851,0
852,0
853,0
854,0
855,0
856,0
857,2
858,1
859,4
860,4
861,5
862,2
863,0
864,0
865,0
866,2
867,3
868,3
869,4
870,3
871,3
872,0
873,0
874,0
875,0
876,4
877,2
878,3
879,3
880,3
881,2
882,4
883,5
884,4
885,3
886,2
887,2
888,0
889,0
890,0
891,0
892,2
893,2
894,0
895,0
896,0
897,2
898,1
899,0
900,0
901,0
902,0
903,2
904,2
905,2
906,0
907,0
908,0
909,1
910,5
911,1
912,2
913,2
914,4
915,4
916,6
917,2
918,2
919,3
920,6
921,0
922,1
923,3
924,4
925,3
926,3
927,1
928,1
929,1
930,4
931,4
932,1
933,2
934,0
935,0
936,0
937,4
938,4
939,2
940,7
941,1
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,2
950,1
951,1
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,2
960,5
961,1
962,0
963,0
964,0
965,7
966,4
967,4
968,1
969,0
970,0
971,0
972,4
973,3
974,4
975,0
976,1
977,0
978,0
979,0
980,6
981,4
982,5
983,3
984,3
985,0
986,0
987,0
988,0
989,0
990,0
991,4
992,3
993,1
994,6
995,0
996,0
997,0
998,0
999,3
1000,4
1001,3
1002,4
1003,7
1004,3
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,2
1014,2
1015,1
1016,2
1017,1
1018,4
1019,6
1020,2
1021,2
1022,1
1023,6
1024,0
1025,0
1026,0
1027,0
1028,5
1029,0
1030,3
1031,1
1032,4
1033,1
1034,1
1035,2
1036,3
1037,0
1038,7
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,2
1049,2
1050,0
1051,0
1052,0
1053,3
1054,2
1055,1
1056,3
1057,4
1058,2
1059,0
1060,0
1061,0
1062,3
1063,3
1064,0
1067,0
1068,0
1069,2
1070,1
1071,5
1072,0
1075,0
1076,5
1077,4
1078,4
1079,3
1080,2
1081,1
1082,0
1083,0
1084,0
1085,4
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,4
1095,5
1096,4
1097,0
1098,0
1099,0
1100,2
1101,3
1102,3
1103,5
1104,4
1105,1
1106,4
1107,2
1108,1
1109,1
1110,3
1111,0
1112,2
1113,5
1114,0
1115,0
1116,0
1117,1
1118,5
1119,5
1120,0
1121,0
1122,0
1123,3
1124,1
1125,2
1126,2
1127,3
1128,1
1129,0
1130,0
1131,0
1132,7
1133,2
1134,4
1135,6
1136,3
1137,5
1138,3
1139,3
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,5
1148,6
1149,2
1150,0
1151,0
1152,0
1153,0
1154,1
1155,3
1156,5
1157,1
1158,3
1159,6
1160,0
1161,4
1162,2
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,2
1173,0
1174,4
1175,0
1176,0
1177,0
1178,2
1179,2
1180,0
1181,3
1182,0
1183,0
1184,0
1185,0
1186,1
1187,0
1188,0
1189,0
1190,0
1193,0
1194,0
1195,3
1196,2
1197,3
1198,2
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,2
1206,2
1207,1
1210,1
1211,3
1212,4
1213,1
1214,2
1215,5
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1225,0
1226,1
1227,6
1228,4
1229,0
1232,7
1233,6
1234,1
1235,3
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,6
1243,3
1248,7
1249,3
1250,3
1251,2
1252,2
1253,1
1254,3
1255,1
1256,3
1257,1
1258,1
1259,2
1260,6
1261,0
1262,0
1263,0
1264,3
1265,3
1266,6
1267,1
1268,3
1269,5
1270,2
1271,6
1272,2
1273,4
1274,0
1275,5
1276,3
1277,4
1278,4
1279,4
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,3
1287,2
1288,2
1289,4
1290,5
1291,2
1292,4
1293,3
1294,0
1295,5
1296,5
1297,0
1298,0
1299,0
1300,0
1301,3
1302,2
1303,2
1304,5
1305,4
1306,2
1307,5
1308,5
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,0
1322,3
1323,2
1324,5
1325,3
1326,3
1327,8
1328,0
1329,1
1330,6
1331,2
1332,0
1333,0
1334,0
1335,1
1336,6
1337,3
1338,1
1339,4
1340,2
1341,0
1342,0
1343,0
1344,5
1345,1
1346,3
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,3
1357,1
1358,3
1359,2
1360,3
1361,4
1362,2
1363,4
1364,4
1365,3
1366,4
1367,2
1370,2
1371,2
1372,3
1373,2
1374,6
1375,7
1376,4
1377,5
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1395,4
1396,4
1397,2
1398,3
1399,0
1402,0
1403,5
1406,3
1407,1
1408,6
1409,4
1410,0
1411,0
1412,0
1413,0
1416,0
1417,3
1418,2
1419,2
1420,0
1421,0
1422,0
1423,5
1424,4
1425,3
1426,4
1427,5
1428,2
1429,1
1430,6
1431,1
1432,0
1433,0
1434,0
1435,2
1436,1
1437,4
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,4
1447,3
1448,3
1449,4
1450,1
1451,7
1452,1
1453,0
1454,0
1455,1
1456,1
1457,0
1458,1
1459,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,2
1468,2
1469,6
1470,0
1471,0
1472,0
1473,3
1474,1
1475,1
1476,0
1477,0
1478,0
1479,0
1480,1
1481,3
1482,1
1483,0
1484,2
1485,1
1486,3
1487,0
1488,3
1491,4
1492,2
1493,2
1494,0
1495,0
1496,0
1497,0
1498,0
1499,2
1500,1
1501,7
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,2
1513,4
1514,2
1515,1
1516,1
1517,2
1518,0
1519,0
1520,0
1521,0
1522,3
1523,2
1524,0
1525,0
1526,0
1527,0
1528,2
1529,2
1530,3
1531,4
1532,2
1533,0
1534,4
1535,3
1536,7
1537,4
1538,4
1539,2
1540,3
1541,3
1542,6
1543,0
1544,0
1545,0
1546,0
1547,3
1548,5
1549,3
1550,6
1551,5
1552,6
1553,1
1554,4
1555,4
1556,0
1557,2
1558,1
1559,3
1560,2
1561,3
1562,0
1563,3
1564,3
1565,2
1566,3
1567,3
1568,9
1569,2
1570,2
1571,3
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,5
1586,4
1587,2
1588,2
1589,4
1590,2
1591,4
1592,2
1593,9
1594,0
1595,2
1596,0
1597,3
1598,4
1599,5
1600,0
1601,2
1602,3
1603,1
1604,4
1605,1
1606,0
1607,0
1608,0
1609,3
1610,2
1611,3
1612,1
1613,4
1614,3
1615,1
1616,3
1617,0
1618,0
1619,0
1620,4
1621,0
1622,2
1623,0
1624,0
1625,0
1626,4
1627,2
1628,1
1629,0
1630,8
1631,2
1632,0
1633,2
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,1
1646,3
1647,0
1648,1
1649,2
1650,4
1651,2
1652,6
1653,5
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,2
1661,6
1662,3
1663,0
1666,0
1667,0
1668,0
1669,0
1670,7
1671,4
1672,3
1675,0
1676,2
1677,2
1678,5
1679,2
1680,0
1681,0
1682,0
1683,0
1684,1
1685,2
1686,4
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,2
1694,4
1695,2
1696,1
1697,1
1698,4
1699,1
1702,0
1703,0
1704,0
1705,0
1706,6
1707,0
1708,1
1709,3
1710,5
1711,0
1712,0
1713,3
1714,0
1715,0
1716,0
1717,2
1718,2
1719,5
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,1
1727,5
1728,1
1729,2
1730,3
1731,4
1732,4
1733,5
1734,4
1735,6
1736,1
1737,3
1738,1
1739,2
1740,1
1741,5
1742,3
1743,2
1744,2
1745,1
1746,2
1747,3
1748,4
1749,6
1750,0
1751,1
1752,5
1753,3
1754,2
1755,0
1756,0
1757,0
1758,4
1759,1
1760,0
1761,0
1762,0
1763,3
1764,6
1765,1
1766,1
1767,0
1768,0
1769,0
1770,2
1771,3
1772,2
1773,4
1774,3
1775,2
1776,2
1777,0
1778,0
1779,0
1780,3
1781,1
1782,2
1783,0
1786,0
1787,2
1788,1
1789,3
1790,0
1791,0
1792,0
1793,2
1794,2
1795,4
1796,5
1797,3
1798,2
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,3
1809,4
1810,5
1811,4
1812,1
1813,6
1814,4
1815,0
1816,4
1817,2
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
