,Opp_obp
0,0.3333333333333333
1,0.3902439024390244
2,0.4634146341463415
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
14,0.5128205128205128
15,0.0
16,0.0
17,0.0
20,0.37777777777777777
21,0.0
22,0.0
23,0.0
24,0.0
25,0.5
26,0.23529411764705882
27,0.4418604651162791
28,0.0
29,0.0
30,0.0
31,0.2903225806451613
32,0.1875
33,0.2647058823529412
34,0.03571428571428571
35,0.10714285714285714
36,0.35
37,0.1935483870967742
38,0.45
39,0.2647058823529412
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.34782608695652173
51,0.35294117647058826
52,0.375
53,0.4473684210526316
54,0.3333333333333333
55,0.3953488372093023
56,0.4117647058823529
57,0.16129032258064516
58,0.2857142857142857
59,0.4583333333333333
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.41025641025641024
68,0.5238095238095238
69,0.34375
70,0.24242424242424243
71,0.1875
72,0.2894736842105263
73,0.0
74,0.0
75,0.0
76,0.0
77,0.35
78,0.25
79,0.28125
80,0.0
81,0.0
82,0.0
83,0.14285714285714285
84,0.46153846153846156
85,0.45454545454545453
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.21212121212121213
93,0.2972972972972973
94,0.10344827586206896
95,0.4722222222222222
96,0.28125
97,0.4634146341463415
98,0.22580645161290322
99,0.2571428571428571
100,0.25
101,0.3225806451612903
102,0.2903225806451613
103,0.40625
104,0.2647058823529412
105,0.34285714285714286
106,0.3953488372093023
107,0.25
108,0.1724137931034483
109,0.34285714285714286
110,0.32432432432432434
111,0.3142857142857143
112,0.3
113,0.2857142857142857
114,0.13793103448275862
115,0.28125
116,0.5121951219512195
117,0.37142857142857144
118,0.3225806451612903
119,0.0
120,0.0
121,0.0
122,0.2857142857142857
123,0.40476190476190477
124,0.3055555555555556
125,0.2972972972972973
126,0.32432432432432434
127,0.34285714285714286
128,0.2777777777777778
129,0.3055555555555556
130,0.13333333333333333
131,0.24242424242424243
132,0.0
133,0.0
134,0.0
135,0.5
136,0.21875
137,0.3888888888888889
138,0.47619047619047616
139,0.30303030303030304
140,0.34375
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.4166666666666667
151,0.3333333333333333
152,0.34210526315789475
153,0.375
154,0.0
155,0.0
156,0.0
157,0.38461538461538464
158,0.3783783783783784
159,0.16129032258064516
160,0.16129032258064516
161,0.43243243243243246
162,0.21212121212121213
163,0.2972972972972973
164,0.4444444444444444
165,0.35135135135135137
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.46511627906976744
180,0.20689655172413793
181,0.47619047619047616
182,0.0
183,0.0
184,0.0
185,0.21951219512195122
186,0.37142857142857144
187,0.32432432432432434
188,0.0
189,0.0
190,0.0
191,0.3611111111111111
192,0.42424242424242425
193,0.4594594594594595
194,0.2647058823529412
195,0.42105263157894735
196,0.5333333333333333
197,0.4090909090909091
198,0.28125
199,0.22857142857142856
200,0.4090909090909091
201,0.21212121212121213
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.23529411764705882
211,0.2727272727272727
212,0.16129032258064516
213,0.3235294117647059
214,0.2571428571428571
215,0.40476190476190477
216,0.1875
217,0.2777777777777778
218,0.2647058823529412
219,0.0
220,0.0
221,0.0
222,0.3333333333333333
223,0.40476190476190477
224,0.16666666666666666
225,0.23529411764705882
226,0.45454545454545453
227,0.40540540540540543
228,0.4444444444444444
229,0.0
230,0.0
231,0.0
232,0.15625
233,0.3783783783783784
234,0.0
235,0.3953488372093023
236,0.29411764705882354
237,0.4186046511627907
238,0.1
239,0.5348837209302325
240,0.3333333333333333
241,0.3684210526315789
242,0.3333333333333333
243,0.3142857142857143
244,0.3953488372093023
245,0.0
246,0.0
247,0.0
248,0.30303030303030304
249,0.14285714285714285
250,0.38235294117647056
251,0.32432432432432434
252,0.0
253,0.0
254,0.0
255,0.34375
256,0.4
257,0.3684210526315789
258,0.3142857142857143
259,0.29411764705882354
260,0.3225806451612903
261,0.0
262,0.0
263,0.0
264,0.3142857142857143
265,0.4444444444444444
266,0.3611111111111111
267,0.22580645161290322
268,0.2857142857142857
269,0.3488372093023256
270,0.21212121212121213
271,0.2777777777777778
272,0.32432432432432434
273,0.12903225806451613
274,0.391304347826087
275,0.5384615384615384
276,0.21875
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.3333333333333333
284,0.28125
287,0.0
288,0.0
289,0.375
290,0.35555555555555557
291,0.5277777777777778
292,0.0
293,0.0
294,0.0
