,Opp_hits
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,7
828,5
829,7
830,11
831,5
832,12
833,0
834,0
835,0
836,7
837,4
838,4
839,7
840,4
841,15
842,11
843,6
844,8
845,7
846,8
847,5
848,16
849,9
850,6
851,0
852,0
853,0
854,0
855,0
856,0
857,3
858,7
859,4
860,8
861,11
862,14
863,0
864,0
865,0
866,13
867,10
868,8
869,12
870,8
871,13
872,0
873,0
874,0
875,11
876,11
877,3
878,13
879,5
880,15
881,5
882,16
883,12
884,9
885,15
886,4
887,6
888,0
889,0
890,0
891,9
892,6
893,9
894,0
895,0
896,0
897,13
898,10
899,5
900,0
901,0
902,0
903,14
904,10
905,9
906,0
907,0
908,0
909,6
910,8
911,10
912,10
913,8
914,9
915,9
916,7
917,7
918,6
919,7
920,7
921,5
922,10
923,9
924,10
925,9
926,6
927,5
928,12
929,5
930,6
931,16
932,12
933,8
934,0
935,0
936,0
937,15
938,13
939,7
940,11
941,5
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,10
950,7
951,8
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,6
960,4
961,4
962,0
963,0
964,0
965,13
966,14
967,16
968,9
969,0
970,0
971,0
972,4
973,9
974,11
975,8
976,5
977,0
978,0
979,0
980,10
981,6
982,10
983,8
984,6
985,0
986,0
987,0
988,0
989,0
990,0
991,11
992,8
993,14
994,10
995,0
996,0
997,0
998,12
999,9
1000,9
1001,4
1002,4
1003,10
1004,14
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,6
1014,11
1015,5
1016,9
1017,7
1018,10
1019,16
1020,11
1021,14
1022,10
1023,12
1024,0
1025,0
1026,0
1027,0
1028,17
1029,8
1030,9
1031,6
1032,11
1033,6
1034,10
1035,7
1036,2
1037,10
1038,13
1039,7
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,3
1048,8
1049,10
1050,0
1051,0
1052,0
1053,16
1054,17
1055,7
1056,9
1057,13
1058,7
1059,0
1060,0
1061,0
1062,8
1063,15
1064,14
1067,0
1068,0
1069,9
1070,7
1071,10
1072,0
1075,0
1076,14
1077,5
1078,10
1079,11
1080,10
1081,6
1082,0
1083,0
1084,0
1085,7
1086,8
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,5
1095,13
1096,10
1097,0
1098,0
1099,0
1100,8
1101,5
1102,4
1103,7
1104,6
1105,15
1106,11
1107,12
1108,10
1109,9
1110,5
1111,12
1112,8
1113,7
1114,0
1115,0
1116,0
1117,7
1118,6
1119,7
1120,0
1121,0
1122,0
1123,13
1124,6
1125,11
1126,10
1127,7
1128,8
1129,0
1130,0
1131,0
1132,11
1133,10
1134,8
1135,3
1136,6
1137,7
1138,13
1139,10
1140,0
1141,0
1142,0
1143,0
1144,error
1145,0
1146,0
1147,10
1148,9
1149,7
1150,0
1151,0
1152,0
1153,2
1154,10
1155,14
1156,2
1157,4
1158,10
1159,14
1160,4
1161,4
1162,9
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,7
1173,7
1174,12
1175,0
1176,0
1177,0
1178,11
1179,6
1180,8
1181,8
1182,9
1183,5
1184,11
1185,5
1186,10
1187,0
1188,0
1189,0
1190,0
1193,0
1194,0
1195,11
1196,8
1197,7
1198,4
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,2
1206,9
1207,9
1210,4
1211,7
1212,11
1213,11
1214,8
1215,16
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1225,0
1226,4
1227,11
1228,3
1229,0
1232,15
1233,15
1234,8
1235,9
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,5
1243,3
1248,7
1249,9
1250,12
1251,16
1252,12
1253,11
1254,9
1255,5
1256,10
1257,7
1258,7
1259,7
1260,6
1261,0
1262,0
1263,0
1264,9
1265,11
1266,11
1267,12
1268,4
1269,5
1270,7
1271,7
1272,4
1273,5
1274,15
1275,12
1276,7
1277,9
1278,5
1279,6
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,9
1287,4
1288,8
1289,11
1290,6
1291,12
1292,2
1293,6
1294,8
1295,16
1296,9
1297,0
1298,0
1299,0
1300,0
1301,13
1302,10
1303,13
1304,17
1305,12
1306,12
1307,5
1308,5
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,0
1319,9
1322,7
1323,3
1324,10
1325,6
1326,6
1327,6
1328,9
1329,6
1330,8
1331,2
1332,0
1333,0
1334,0
1335,11
1336,10
1337,8
1338,9
1339,7
1340,5
1341,0
1342,0
1343,0
1344,9
1345,12
1346,9
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,7
1357,8
1358,10
1359,14
1360,7
1361,10
1362,11
1363,11
1364,9
1365,9
1366,8
1367,11
1370,11
1371,5
1372,6
1373,12
1374,5
1375,14
1376,5
1377,12
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1395,6
1396,7
1397,7
1398,13
1399,0
1402,0
1403,10
1406,13
1407,3
1408,3
1409,12
1410,0
1411,0
1412,0
1413,0
1416,0
1417,9
1418,11
1419,11
1420,0
1421,0
1422,0
1423,13
1424,6
1425,12
1426,5
1427,1
1428,12
1429,11
1430,11
1431,10
1432,0
1433,0
1434,0
1435,8
1436,8
1437,1
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,17
1447,8
1448,9
1449,9
1450,7
1451,13
1452,5
1453,0
1454,0
1455,7
1456,7
1457,10
1458,8
1459,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,22
1468,13
1469,9
1470,0
1471,0
1472,0
1473,6
1474,7
1475,4
1476,0
1477,0
1478,0
1479,12
1480,9
1481,6
1482,11
1483,5
1484,7
1485,11
1486,6
1487,2
1488,6
1491,5
1492,10
1493,9
1494,0
1495,0
1496,0
1497,0
1498,0
1499,4
1500,5
1501,6
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,7
1513,8
1514,10
1515,9
1516,9
1517,2
1518,0
1519,0
1520,0
1521,0
1522,6
1523,7
1524,0
1525,0
1526,0
1527,0
1528,13
1529,12
1530,7
1531,7
1532,6
1533,3
1534,10
1535,10
1536,5
1537,7
1538,4
1539,9
1540,7
1541,10
1542,8
1543,7
1544,0
1545,0
1546,0
1547,9
1548,10
1549,11
1550,5
1551,9
1552,14
1553,4
1554,11
1555,8
1556,10
1557,8
1558,6
1559,12
1560,4
1561,13
1562,8
1563,13
1564,9
1565,7
1566,7
1567,4
1568,13
1569,8
1570,14
1571,15
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,0
1580,0
1581,0
1582,0
1583,0
1584,0
1585,6
1586,12
1587,7
1588,7
1589,7
1590,6
1591,11
1592,10
1593,8
1594,6
1595,15
1596,7
1597,5
1598,3
1599,12
1600,9
1601,11
1602,6
1603,14
1604,3
1605,8
1606,0
1607,0
1608,0
1609,7
1610,6
1611,8
1612,7
1613,2
1614,9
1615,6
1616,7
1617,0
1618,0
1619,0
1620,11
1621,12
1622,6
1623,0
1624,0
1625,0
1626,15
1627,7
1628,5
1629,1
1630,6
1631,7
1632,4
1633,6
1634,3
1635,5
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,7
1646,8
1647,9
1648,9
1649,3
1650,5
1651,11
1652,11
1653,9
1654,0
1655,0
1656,0
1657,0
1658,0
1659,0
1660,7
1661,9
1662,11
1663,0
1666,0
1667,0
1668,0
1669,0
1670,6
1671,8
1672,5
1675,7
1676,18
1677,13
1678,11
1679,4
1680,0
1681,0
1682,0
1683,0
1684,3
1685,7
1686,11
1687,0
1688,0
1689,0
1690,0
1691,0
1692,0
1693,20
1694,7
1695,2
1696,5
1697,7
1698,12
1699,3
1702,0
1703,0
1704,0
1705,0
1706,8
1707,7
1708,9
1709,4
1710,5
1711,12
1712,1
1713,7
1714,0
1715,0
1716,0
1717,10
1718,14
1719,7
1720,0
1721,0
1722,0
1723,0
1724,0
1725,0
1726,8
1727,12
1728,11
1729,11
1730,9
1731,6
1732,8
1733,10
1734,9
1735,7
1736,9
1737,5
1738,9
1739,3
1740,13
1741,4
1742,10
1743,12
1744,5
1745,6
1746,7
1747,12
1748,9
1749,16
1750,9
1751,6
1752,11
1753,10
1754,6
1755,0
1756,0
1757,0
1758,6
1759,4
1760,0
1761,0
1762,0
1763,13
1764,7
1765,8
1766,8
1767,0
1768,0
1769,0
1770,4
1771,10
1772,12
1773,3
1774,8
1775,8
1776,10
1777,0
1778,0
1779,0
1780,15
1781,7
1782,21
1783,0
1786,0
1787,7
1788,8
1789,6
1790,0
1791,0
1792,0
1793,10
1794,7
1795,7
1796,10
1797,12
1798,16
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,4
1809,13
1810,6
1811,6
1812,13
1813,9
1814,12
1815,10
1816,9
1817,6
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
