,Opp_ba
1122,0.0
1123,0.3611111111111111
1124,0.2
1125,0.3142857142857143
1126,0.29411764705882354
1127,0.22580645161290322
1128,0.26666666666666666
1129,0.0
1130,0.0
1131,0.0
1132,0.3548387096774194
1133,0.2777777777777778
1134,0.1951219512195122
1135,0.1
1136,0.2
1137,0.2413793103448276
1138,0.3333333333333333
1139,0.3125
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.2857142857142857
1148,0.2571428571428571
1149,0.20588235294117646
1150,0.0
1151,0.0
1152,0.0
1153,0.07142857142857142
1154,0.29411764705882354
1155,0.4
1156,0.07142857142857142
1157,0.11428571428571428
1158,0.2857142857142857
1159,0.34146341463414637
1160,0.12903225806451613
1161,0.14285714285714285
1162,0.28125
1163,0.0
1164,0.0
1165,0.0
1166,0.0
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.21875
1173,0.20588235294117646
1174,0.3333333333333333
1175,0.0
1176,0.0
1177,0.0
1178,0.3333333333333333
1179,0.16216216216216217
1180,0.23529411764705882
1181,0.2857142857142857
1182,0.2647058823529412
1183,0.16666666666666666
1184,0.3235294117647059
1185,0.1724137931034483
1186,0.30303030303030304
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1193,0.0
1194,0.0
1195,0.34375
1196,0.24242424242424243
1197,0.21212121212121213
1198,0.12903225806451613
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.07142857142857142
1206,0.2647058823529412
1207,0.2571428571428571
1210,0.14285714285714285
1211,0.25
1212,0.34375
1213,0.3235294117647059
1214,0.24242424242424243
1215,0.4444444444444444
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1225,0.0
1226,0.13333333333333333
1227,0.3142857142857143
1228,0.1111111111111111
1229,0.0
1232,0.46875
1233,0.4166666666666667
1234,0.1951219512195122
1235,0.2727272727272727
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.20833333333333334
1243,0.10344827586206896
1248,0.21212121212121213
1249,0.23684210526315788
1250,0.36363636363636365
1251,0.41025641025641024
1252,0.3333333333333333
1253,0.3142857142857143
1254,0.3103448275862069
1255,0.1724137931034483
1256,0.3125
1257,0.21875
1258,0.21212121212121213
1259,0.2413793103448276
1260,0.1935483870967742
1261,0.0
1262,0.0
1263,0.0
1264,0.2903225806451613
1265,0.2972972972972973
1266,0.3235294117647059
1267,0.3076923076923077
1268,0.13793103448275862
1269,0.15625
1270,0.1794871794871795
1271,0.23333333333333334
1272,0.13333333333333333
1273,0.17857142857142858
1274,0.4166666666666667
1275,0.375
1276,0.25
1277,0.23684210526315788
1278,0.2
1279,0.24
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,0.0
1285,0.0
1286,0.2727272727272727
1287,0.13333333333333333
1288,0.24242424242424243
1289,0.3333333333333333
1290,0.2222222222222222
1291,0.3
1292,0.06896551724137931
1293,0.1935483870967742
1294,0.23529411764705882
1295,0.42105263157894735
1296,0.2647058823529412
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.37142857142857144
1302,0.3125
1303,0.38235294117647056
1304,0.425
1305,0.36363636363636365
1306,0.3870967741935484
1307,0.16666666666666666
1308,0.16129032258064516
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.2727272727272727
1322,0.21875
1323,0.1111111111111111
1324,0.2857142857142857
1325,0.1875
1326,0.2
1327,0.1935483870967742
1328,0.28125
1329,0.21428571428571427
1330,0.2857142857142857
1331,0.07142857142857142
1332,0.0
1333,0.0
1334,0.0
1335,0.3142857142857143
1336,0.2857142857142857
1337,0.27586206896551724
1338,0.2647058823529412
1339,0.21875
1340,0.14705882352941177
1341,0.0
1342,0.0
1343,0.0
1344,0.23076923076923078
1345,0.3333333333333333
1346,0.24324324324324326
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.20588235294117646
1357,0.25806451612903225
1358,0.3125
1359,0.3783783783783784
1360,0.22580645161290322
1361,0.29411764705882354
1362,0.3333333333333333
1363,0.34375
1364,0.2647058823529412
1365,0.32142857142857145
1366,0.2857142857142857
1367,0.3142857142857143
1370,0.2972972972972973
1371,0.1724137931034483
1372,0.1935483870967742
1373,0.35294117647058826
1374,0.1724137931034483
1375,0.3684210526315789
1376,0.19230769230769232
1377,0.34285714285714286
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1395,0.1935483870967742
1396,0.23333333333333334
1397,0.19444444444444445
1398,0.3611111111111111
1399,0.0
1402,0.0
1403,0.3225806451612903
1406,0.3611111111111111
1407,0.0967741935483871
1408,0.08823529411764706
1409,0.34285714285714286
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1416,0.0
1417,0.2647058823529412
1418,0.3142857142857143
1419,0.3142857142857143
1420,0.0
1421,0.0
1422,0.0
1423,0.35135135135135137
1424,0.2
1425,0.32432432432432434
1426,0.17857142857142858
1427,0.03571428571428571
1428,0.32432432432432434
1429,0.34375
1430,0.3333333333333333
1431,0.29411764705882354
1432,0.0
1433,0.0
1434,0.0
1435,0.24242424242424243
1436,0.23529411764705882
1437,0.04
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.4722222222222222
1447,0.2857142857142857
1448,0.32142857142857145
1449,0.20930232558139536
1450,0.21212121212121213
1451,0.3611111111111111
1452,0.16666666666666666
1453,0.0
1454,0.0
1455,0.21212121212121213
1456,0.22580645161290322
1457,0.3125
1458,0.23529411764705882
1459,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.5116279069767442
1468,0.35135135135135137
1469,0.3333333333333333
1470,0.0
1471,0.0
1472,0.0
1473,0.1935483870967742
1474,0.22580645161290322
1475,0.13793103448275862
1476,0.0
1477,0.0
1478,0.0
1479,0.3870967741935484
1480,0.2727272727272727
1481,0.1875
1482,0.3142857142857143
1483,0.15625
1484,0.21875
1485,0.3055555555555556
1486,0.21428571428571427
1487,0.07142857142857142
1488,0.21428571428571427
1491,0.1724137931034483
1492,0.2777777777777778
1493,0.2727272727272727
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.14814814814814814
1500,0.15625
1501,0.1875
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.22580645161290322
1513,0.25806451612903225
1514,0.30303030303030304
1515,0.25
1516,0.25
1517,0.07142857142857142
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.1935483870967742
1523,0.23333333333333334
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.41935483870967744
1529,0.35294117647058826
1530,0.22580645161290322
1531,0.21875
1532,0.1935483870967742
1533,0.1
1534,0.3125
1535,0.2857142857142857
1536,0.18518518518518517
1537,0.21875
1538,0.14285714285714285
1539,0.2727272727272727
1540,0.21212121212121213
1541,0.2857142857142857
1542,0.24242424242424243
1543,0.21212121212121213
1544,0.0
1545,0.0
1546,0.0
1547,0.3103448275862069
1548,0.3225806451612903
1549,0.3548387096774194
1550,0.1724137931034483
1551,0.2727272727272727
1552,0.3888888888888889
1553,0.13333333333333333
1554,0.3333333333333333
1555,0.25
1556,0.3125
1557,0.24242424242424243
1558,0.2222222222222222
1559,0.3333333333333333
1560,0.13793103448275862
1561,0.38235294117647056
1562,0.23529411764705882
1563,0.34210526315789475
1564,0.2727272727272727
1565,0.22580645161290322
1566,0.2413793103448276
1567,0.13333333333333333
1568,0.40625
1569,0.23529411764705882
1570,0.4117647058823529
1571,0.39473684210526316
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.17142857142857143
1586,0.32432432432432434
1587,0.25
1588,0.20588235294117646
1589,0.22580645161290322
1590,0.18181818181818182
1591,0.3055555555555556
1592,0.2702702702702703
1593,0.24242424242424243
1594,0.1875
1595,0.38461538461538464
1596,0.22580645161290322
1597,0.2
1598,0.1111111111111111
1599,0.375
1600,0.3103448275862069
1601,0.3333333333333333
1602,0.18181818181818182
1603,0.3888888888888889
1604,0.1111111111111111
1605,0.23529411764705882
1606,0.0
1607,0.0
1608,0.0
1609,0.23333333333333334
1610,0.1935483870967742
1611,0.2
1612,0.2413793103448276
1613,0.07692307692307693
1614,0.2571428571428571
1615,0.1935483870967742
1616,0.2
1617,0.0
1618,0.0
1619,0.0
1620,0.3055555555555556
1621,0.32432432432432434
1622,0.20689655172413793
1623,0.0
1624,0.0
