Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Mar 28,boxscore,COL,@,MIA,W,6,3,,1-0,1,Tied,Freeland,Ureña,,2:55,D,25423,.97,+,
2,Friday Mar 29,boxscore,COL,@,MIA,W,6,1,,2-0,1,Tied,Márquez,Conley,,3:04,N,6503,.98,++,
3,Saturday Mar 30,boxscore,COL,@,MIA,L,3,7,,2-1,1,Tied,López,Anderson,,3:00,N,7642,1.02,-,
4,Sunday Mar 31,boxscore,COL,@,MIA,L,0,3,,2-2,3,1.0,Alcántara,Gray,Romo,2:32,D,7559,1.03,--,
5,Monday Apr 1,boxscore,COL,@,TBR,L,1,7,,2-3,3,1.0,Yarbrough,Bettis,,2:54,N,10860,.95,---,
6,Tuesday Apr 2,boxscore,COL,@,TBR,L,0,4,,2-4,4,2.0,Snell,Freeland,,2:50,N,10933,.91,----,
7,Wednesday Apr 3,boxscore,COL,@,TBR,W,1,0,11,3-4,3,2.0,Davis,Roe,,3:19,D,11093,.87,+,
8,Friday Apr 5,boxscore,COL,,LAD,L,6,10,,3-5,4,3.0,Maeda,Anderson,,3:52,D,48404,1.06,-,
9,Saturday Apr 6,boxscore,COL,,LAD,L,2,7,,3-6,4,4.0,Buehler,Gray,Jansen,3:19,N,47880,1.01,--,
10,Sunday Apr 7,boxscore,COL,,LAD,L,6,12,,3-7,4,5.0,Kelly,Bettis,,3:52,N,41232,.93,---,
11,Monday Apr 8,boxscore,COL,,ATL,L,6,8,,3-8,4,5.0,Teheran,Freeland,Minter,2:59,N,25199,.75,----,
12,Tuesday Apr 9,boxscore,COL,,ATL,L,1,7,,3-9,5,5.0,Fried,Márquez,,3:12,N,26124,.72,-----,
13,Thursday Apr 11,boxscore,COL,@,SFG,L,0,1,,3-10,5,5.5,Samardzija,Gray,Smith,2:34,N,29727,.71,------,
14,Friday Apr 12,boxscore,COL,@,SFG,L-wo,2,3,18,3-11,5,6.5,Bergen,Johnson,,5:35,N,33616,.68,-------,
15,Saturday Apr 13,boxscore,COL,@,SFG,L,2,5,,3-12,5,7.5,Bumgarner,Freeland,Dyson,2:48,D,32607,.60,--------,
16,Sunday Apr 14,boxscore,COL,@,SFG,W,4,0,,4-12,5,6.5,Márquez,Holland,,2:25,D,35513,.60,+,
17,Monday Apr 15,boxscore,COL,@,SDP,W,5,2,,5-12,5,5.5,Senzatela,Lucchesi,Davis,2:38,N,24867,.69,++,
18,Tuesday Apr 16,boxscore,COL,@,SDP,W,8,2,,6-12,5,4.5,Gray,Margevicius,,3:01,N,24963,.78,+++,
19,Thursday Apr 18,boxscore,COL,,PHI,W,6,2,,7-12,5,5.0,Freeland,Eflin,,3:03,N,27562,.66,++++,
20,Friday Apr 19,boxscore,COL,,PHI,W-wo,4,3,12,8-12,4,5.0,Bettis,Nicasio,,4:26,N,35423,.75,+++++,
21,Saturday Apr 20,boxscore,COL,,PHI,L,5,8,,8-13,4,5.0,Nola,Senzatela,Neris,3:25,N,40530,.76,-,
22,Sunday Apr 21,boxscore,COL,,PHI,W,4,1,,9-13,4,5.0,Gray,Eickhoff,,2:58,D,28287,.76,+,
23,Monday Apr 22,boxscore,COL,,WSN,W,7,5,,10-13,4,4.5,Oh,Suero,Davis,3:00,N,20517,.79,++,
24,Tuesday Apr 23,boxscore,COL,,WSN,L,3,6,,10-14,4,4.5,Corbin,Hoffman,Doolittle,3:14,N,24456,.81,-,
25,Wednesday Apr 24,boxscore,COL,,WSN,W,9,5,,11-14,4,3.5,Márquez,Sánchez,Davis,2:48,D,33135,.77,+,
26,Friday Apr 26,boxscore,COL,@,ATL,W,8,4,,12-14,4,4.0,Senzatela,Fried,Davis,3:21,N,40282,.79,++,
27,Saturday Apr 27,boxscore,COL,@,ATL,W,9,5,,13-14,4,4.0,Shaw,Minter,,2:58,N,38243,.84,+++,
28,Sunday Apr 28,boxscore,COL,@,ATL,L,7,8,,13-15,4,5.0,Webb,Oh,Jackson,3:47,D,33919,.90,-,
29,Monday Apr 29,boxscore,COL,@,MIL,L,1,5,,13-16,4,5.0,Davies,Freeland,,2:38,N,23356,.86,--,
30,Tuesday Apr 30,boxscore,COL,@,MIL,L,3,4,,13-17,4,6.0,Chacín,Márquez,Hader,2:22,N,25673,.82,---,
31,Wednesday May 1,boxscore,COL,@,MIL,W,11,4,,14-17,4,5.0,Estévez,Burnes,,3:44,N,28780,.73,+,
32,Thursday May 2,boxscore,COL,@,MIL,W,11,6,,15-17,4,4.5,Gray,Peralta,,3:24,D,21319,.78,++,
33,Friday May 3,boxscore,COL,,ARI,L,9,10,,15-18,4,5.5,Ray,Anderson,Holland,3:24,N,29574,.96,-,
34,Saturday May 4,boxscore,COL,,ARI,L,2,9,,15-19,4,6.5,Weaver,Freeland,,2:51,N,37765,.87,--,
35,Sunday May 5,boxscore,COL,,ARI,W,8,7,,16-19,4,5.5,Oberg,Bradley,Davis,3:09,D,40262,.77,+,
36,Tuesday May 7,boxscore,COL,,SFG,L,4,14,,16-20,4,7.0,Bumgarner,Senzatela,,3:23,N,21707,.77,-,
37,Thursday May 9,boxscore,COL,,SFG,W,12,11,,17-20,4,6.5,Shaw,Beede,Davis,3:56,D,25368,.66,+,
38,Friday May 10,boxscore,COL,,SDP,W,12,2,,18-20,4,6.5,Márquez,Lauer,,3:10,N,27594,.77,++,
39,Saturday May 11,boxscore,COL,,SDP,L,3,4,,18-21,4,6.5,Stammen,Davis,Yates,3:05,N,37118,.87,-,
40,Sunday May 12,boxscore,COL,,SDP,W,10,7,,19-21,4,6.5,Senzatela,Margevicius,,3:06,D,40234,.80,+,
41,Tuesday May 14,boxscore,COL,@,BOS,W,5,4,11,20-21,4,6.5,Dunn,Brasier,Davis,3:42,N,35804,.76,++,
42,Wednesday May 15,boxscore,COL,@,BOS,L-wo,5,6,10,20-22,4,7.5,Workman,Bettis,,3:44,N,37032,.80,-,
43,Friday May 17,boxscore,COL,@,PHI,L,4,5,,20-23,4,8.5,Irvin,Gray,Neris,2:45,N,28079,.75,--,
44,Saturday May 18,boxscore,COL,@,PHI,L,1,2,,20-24,4,8.5,Nola,Senzatela,Neris,3:18,D,42354,.72,---,
45,Sunday May 19,boxscore,COL,@,PHI,L,5,7,,20-25,4,9.5,García,Shaw,Neshek,3:30,D,38603,.67,----,
46,Tuesday May 21,boxscore,COL,@,PIT,W,5,0,,21-25,4,9.5,Márquez,Archer,,2:41,N,12265,.65,+,
47,Wednesday May 22,boxscore,COL,@,PIT,W,9,3,,22-25,4,8.5,Gray,DuRapau,,3:25,N,9534,.68,++,
48,Thursday May 23,boxscore,COL,@,PIT,L,6,14,,22-26,4,9.0,Lyles,Senzatela,,3:01,D,15490,.77,-,
49,Friday May 24,boxscore,COL,,BAL,W-wo,8,6,,23-26,4,9.0,Oberg,Givens,,3:17,N,32397,.67,+,
50,Saturday May 25,boxscore,COL,,BAL,L,6,9,,23-27,4,10.0,Cashner,Freeland,Lucas,3:12,N,41239,.67,-,
51,Sunday May 26,boxscore,COL,,BAL,W-wo,8,7,,24-27,4,10.0,Oberg,Fry,,3:28,D,46815,.59,+,
52,Monday May 27,boxscore,COL,,ARI,W-wo,4,3,11,25-27,4,10.0,Oh,Andriese,,4:23,D,35604,.72,++,
53,Tuesday May 28,boxscore,COL,,ARI,W,6,2,,26-27,4,9.0,Díaz,Kelly,Bettis,3:02,N,21583,.77,+++,
54,Wednesday May 29,boxscore,COL,,ARI,W,5,4,,27-27,3,9.0,Hoffman,Ray,Oberg,3:11,N,24261,.89,++++,
55,Thursday May 30,boxscore,COL,,ARI,W-wo,11,10,10,28-27,3,9.0,Oh,Hirano,,3:51,D,30371,.91,+++++,
56,Friday May 31,boxscore,COL,,TOR,W,13,6,,29-27,3,9.0,Márquez,Jackson,,3:10,N,32990,.85,++++++,
57,Saturday Jun 1,boxscore,COL,,TOR,W,4,2,,30-27,2,9.0,Gray,Stroman,Oberg,2:28,N,34025,.87,+++++++,
58,Sunday Jun 2,boxscore,COL,,TOR,W,5,1,,31-27,2,9.0,Senzatela,Sanchez,,2:43,D,37861,.94,++++++++,
59,Tuesday Jun 4,boxscore,COL,@,CHC,L,3,6,,31-28,2,10.5,Hendricks,Hoffman,Strop,2:34,N,36753,1.00,-,
60,Wednesday Jun 5,boxscore,COL,@,CHC,L,8,9,,31-29,2,10.5,Kintzler,Márquez,Cishek,3:22,N,35395,.99,--,
61,Thursday Jun 6,boxscore,COL,@,CHC,W,3,1,,32-29,2,10.0,Lambert,Quintana,Oberg,2:40,D,36375,.93,+,
62,Friday Jun 7,boxscore,COL,@,NYM,W,5,1,,33-29,2,9.0,Senzatela,deGrom,,3:03,N,27520,.95,++,
63,Saturday Jun 8,boxscore,COL,@,NYM,L,3,5,,33-30,2,10.0,Matz,Gray,Díaz,2:59,N,29077,1.03,-,
64,Sunday Jun 9,boxscore,COL,@,NYM,L,1,6,,33-31,2,11.0,Syndergaard,Hoffman,,2:32,D,29531,.97,--,
65,Monday Jun 10,boxscore,COL,,CHC,W,6,5,,34-31,2,10.0,Oberg,Cishek,Davis,2:51,N,44859,.90,+,
66,Tuesday Jun 11,boxscore,COL,,CHC,W,10,3,,35-31,2,9.0,Lambert,Quintana,,3:10,N,43126,.99,++,
67,Wednesday Jun 12,boxscore,COL,,CHC,L,1,10,,35-32,2,9.5,Hamels,Senzatela,,2:57,D,47412,1.04,-,
68,Thursday Jun 13,boxscore,COL,,SDP,W,9,6,,36-32,2,9.5,Gray,Strahm,,3:26,N,35504,.99,+,
69,Friday Jun 14,boxscore,COL,,SDP,L,12,16,12,36-33,2,10.5,Stammen,Díaz,,5:04,N,38077,1.01,-,
70,Saturday Jun 15,boxscore,COL,,SDP,W,14,8,,37-33,2,9.5,Márquez,Lauer,,3:39,N,46133,.95,+,
71,Sunday Jun 16,boxscore,COL,,SDP,L,13,14,,37-34,2,10.5,Reyes,Davis,Yates,3:31,D,47526,.99,-,
72,Tuesday Jun 18,boxscore,COL,@,ARI,W,8,1,,38-34,2,10.0,Senzatela,Kelly,,2:51,N,22954,1.01,+,
73,Wednesday Jun 19,boxscore,COL,@,ARI,W,6,4,,39-34,2,10.0,Gray,Greinke,Davis,2:55,N,21773,1.08,++,
74,Thursday Jun 20,boxscore,COL,@,ARI,W,6,4,10,40-34,2,10.0,Oberg,Hirano,,4:08,D,23294,1.09,+++,
75,Friday Jun 21,boxscore,COL,@,LAD,L-wo,2,4,,40-35,2,11.0,Buehler,Díaz,,2:12,N,54044,1.22,-,
76,Saturday Jun 22,boxscore,COL,@,LAD,L-wo,4,5,11,40-36,2,12.0,Kelly,Tinoco,,4:15,D,53096,1.13,--,
77,Sunday Jun 23,boxscore,COL,@,LAD,L-wo,3,6,,40-37,2,13.0,Jansen,Oberg,,3:10,D,50023,1.05,---,
78,Monday Jun 24,boxscore,COL,@,SFG,W,2,0,,41-37,2,12.0,Gray,Pomeranz,Davis,2:45,N,30018,.89,+,
79,Tuesday Jun 25,boxscore,COL,@,SFG,L,2,4,,41-38,2,13.0,Bumgarner,González,Smith,2:43,N,31458,.96,-,
80,Wednesday Jun 26,boxscore,COL,@,SFG,W,6,3,,42-38,2,12.0,Márquez,Samardzija,Davis,2:54,D,33765,.92,+,
81,Thursday Jun 27,boxscore,COL,,LAD,L,8,12,,42-39,2,13.0,Báez,Davis,,3:32,N,47452,1.09,-,
82,Friday Jun 28,boxscore,COL,,LAD,W,13,9,,43-39,2,12.0,Senzatela,Ryu,,3:31,N,46065,.96,+,
83,Saturday Jun 29,boxscore,COL,,LAD,W,5,3,,44-39,2,11.0,Gray,Kershaw,Davis,2:43,N,48101,1.04,++,
84,Sunday Jun 30,boxscore,COL,,LAD,L,5,10,,44-40,2,12.0,Floro,Bettis,,4:01,D,47713,1.11,-,
85,Tuesday Jul 2,boxscore,COL,,HOU,L,8,9,,44-41,2,13.0,Harris,McGee,Osuna,3:27,N,47864,.94,--,
86,Wednesday Jul 3,boxscore,COL,,HOU,L,2,4,,44-42,2,14.0,Miley,Lambert,Osuna,2:41,N,48308,.87,---,
87,Friday Jul 5,boxscore,COL,@,ARI,L,0,8,,44-43,2,14.5,Greinke,Senzatela,,2:52,N,43056,.86,----,
88,Saturday Jul 6,boxscore,COL,@,ARI,L,2,4,,44-44,2,14.5,Ray,Gray,Holland,3:11,N,28276,.84,-----,
89,Sunday Jul 7,boxscore,COL,@,ARI,L,3,5,,44-45,4,14.5,Young,Márquez,Holland,2:36,D,22964,.81,------,
90,Friday Jul 12,boxscore,COL,,CIN,W,3,2,,45-45,3,13.5,Díaz,Hernandez,Davis,2:40,N,41368,.67,+,
91,Saturday Jul 13,boxscore,COL,,CIN,L,9,17,,45-46,3,14.5,Hughes,Bettis,,3:53,N,43650,.73,-,
92,Sunday Jul 14,boxscore,COL,,CIN,W,10,9,,46-46,2,14.5,Senzatela,Mahle,Davis,3:05,D,40624,.64,+,
93,Monday Jul 15 (1),boxscore,COL,,SFG,L,2,19,,46-47,3,16.0,Samardzija,Márquez,,3:15,D,26434,.72,-,2019-05-08 (Rain)
94,Monday Jul 15 (2),boxscore,COL,,SFG,L,1,2,,46-48,3,16.0,Rodríguez,González,Smith,2:42,N,34424,.65,--,
95,Tuesday Jul 16,boxscore,COL,,SFG,L,4,8,10,46-49,3,16.0,Smith,Davis,,3:33,N,47413,.59,---,
96,Wednesday Jul 17,boxscore,COL,,SFG,L,8,11,,46-50,5,17.0,Holland,Gray,Melancon,3:28,D,40157,.50,----,
97,Friday Jul 19,boxscore,COL,@,NYY,L,2,8,,46-51,4,17.5,Happ,Freeland,Tarpley,3:15,N,44316,.37,-----,
98,Saturday Jul 20,boxscore,COL,@,NYY,L,5,11,,46-52,4,18.5,Tanaka,Senzatela,,3:33,D,41499,.31,------,
