Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 3,boxscore,COL,@,MIL,W,7,5,,1-0,1,Tied,Estévez,Mariñez,Holland,3:26,D,43336,.96,+,
2,Tuesday Apr 4,boxscore,COL,@,MIL,W,6,5,,2-0,1,up 1.0,Anderson,Davies,Holland,3:34,N,21458,.99,++,
3,Wednesday Apr 5,boxscore,COL,@,MIL,L,1,6,,2-1,1,Tied,Peralta,Chatwood,Feliz,3:03,N,21824,1.03,-,
4,Thursday Apr 6,boxscore,COL,@,MIL,W,2,1,,3-1,1,Tied,Dunn,Feliz,Holland,3:07,D,23828,1.01,+,
5,Friday Apr 7,boxscore,COL,,LAD,W,2,1,,4-1,1,Tied,Freeland,Ryu,McGee,3:00,D,49169,1.24,++,
6,Saturday Apr 8,boxscore,COL,,LAD,W,4,2,,5-1,1,Tied,Dunn,Kershaw,Holland,2:59,N,48012,1.23,+++,
7,Sunday Apr 9,boxscore,COL,,LAD,L,6,10,,5-2,2,1.0,Maeda,Anderson,,3:49,D,33529,1.24,-,
8,Monday Apr 10,boxscore,COL,,SDP,L,3,5,,5-3,2,1.0,Díaz,Chatwood,,2:53,N,20504,1.17,--,
9,Tuesday Apr 11,boxscore,COL,,SDP,W,3,2,,6-3,2,1.0,Senzatela,Díaz,Holland,2:24,N,20664,1.16,+,
10,Wednesday Apr 12,boxscore,COL,,SDP,L,0,6,,6-4,2,1.0,Lee,Freeland,,2:49,D,20968,1.17,-,
11,Thursday Apr 13,boxscore,COL,@,SFG,W,3,1,,7-4,2,0.5,Rusin,Bumgarner,Holland,2:50,N,41915,1.16,+,
12,Friday Apr 14,boxscore,COL,@,SFG,L,2,8,,7-5,2,0.5,Cueto,Anderson,,2:49,N,42738,1.18,-,
13,Saturday Apr 15,boxscore,COL,@,SFG,W,5,0,,8-5,1,up 0.5,Chatwood,Moore,,2:26,D,42371,1.19,+,
14,Sunday Apr 16,boxscore,COL,@,SFG,W,4,3,,9-5,1,up 0.5,Senzatela,Samardzija,Holland,2:46,D,41455,1.20,++,
15,Tuesday Apr 18,boxscore,COL,@,LAD,W,4,3,,10-5,1,Tied,Rusin,Ryu,Holland,3:17,N,37960,1.32,+++,
16,Wednesday Apr 19,boxscore,COL,@,LAD,L,2,4,,10-6,1,Tied,Kershaw,Anderson,Jansen,2:55,N,45474,1.33,-,
17,Friday Apr 21,boxscore,COL,,SFG,W,6,5,,11-6,1,up 0.5,Chatwood,Cueto,Holland,2:59,N,27663,1.30,+,
18,Saturday Apr 22,boxscore,COL,,SFG,W,12,3,,12-6,1,up 0.5,Senzatela,Moore,,3:01,N,39239,1.31,++,
19,Sunday Apr 23,boxscore,COL,,SFG,W,8,0,,13-6,1,up 1.5,Freeland,Samardzija,,2:46,D,42011,1.32,+++,
20,Monday Apr 24,boxscore,COL,,WSN,W,8,4,,14-6,1,up 1.5,Estévez,Romero,,3:00,N,23019,1.20,++++,
21,Tuesday Apr 25,boxscore,COL,,WSN,L,12,15,,14-7,1,up 0.5,Romero,Márquez,,3:26,N,21340,1.26,-,
22,Wednesday Apr 26,boxscore,COL,,WSN,L,4,11,,14-8,1,up 0.5,Roark,Chatwood,,3:23,N,22461,1.21,--,
23,Thursday Apr 27,boxscore,COL,,WSN,L,5,16,,14-9,2,0.5,Gonzalez,Senzatela,,3:25,D,34929,1.23,---,
24,Friday Apr 28,boxscore,COL,@,ARI,W,3,1,,15-9,1,up 0.5,Freeland,Ray,Holland,2:53,N,19300,1.47,+,
25,Saturday Apr 29,boxscore,COL,@,ARI,W,7,6,,16-9,1,up 1.5,Estévez,Rodney,Holland,3:38,N,30445,1.53,++,
26,Sunday Apr 30,boxscore,COL,@,ARI,L-wo,0,2,13,16-10,1,up 0.5,Delgado,Lyles,,4:02,D,23613,1.50,-,
27,Tuesday May 2,boxscore,COL,@,SDP,L,2,6,,16-11,2,0.5,Cahill,Chatwood,,2:56,N,18910,1.34,--,
28,Wednesday May 3,boxscore,COL,@,SDP,W,11,3,,17-11,1,up 0.5,Senzatela,Weaver,,2:53,N,16487,1.34,+,
29,Thursday May 4,boxscore,COL,@,SDP,W,3,2,11,18-11,1,up 1.5,Qualls,Hand,Holland,4:13,D,16356,1.39,++,
30,Friday May 5,boxscore,COL,,ARI,L,3,6,,18-12,1,up 0.5,Greinke,Márquez,Rodney,2:56,N,30030,1.53,-,
31,Saturday May 6,boxscore,COL,,ARI,W,9,1,,19-12,1,up 1.5,Anderson,Corbin,Rusin,3:04,N,36165,1.53,+,
32,Sunday May 7,boxscore,COL,,ARI,W,5,2,,20-12,1,up 2.5,Chatwood,Walker,Holland,2:35,D,39175,1.58,++,
33,Tuesday May 9 (1),boxscore,COL,,CHC,W,10,4,,21-12,1,up 1.5,Senzatela,Arrieta,,3:01,D,34779,1.30,+++,2017-05-08 (Rain)
34,Tuesday May 9 (2),boxscore,COL,,CHC,L,1,8,,21-13,1,up 1.5,Lackey,Freeland,,3:01,N,36563,1.26,-,
35,Wednesday May 10,boxscore,COL,,CHC,W,3,0,,22-13,1,up 1.5,Márquez,Hendricks,Holland,2:14,D,35213,1.29,+,
36,Thursday May 11,boxscore,COL,,LAD,W,10,7,,23-13,1,up 2.5,Hoffman,Ryu,Holland,3:23,N,27265,1.60,++,
37,Friday May 12,boxscore,COL,,LAD,L,2,6,,23-14,1,up 1.5,Kershaw,Chatwood,,2:53,N,40146,1.61,-,
38,Saturday May 13,boxscore,COL,,LAD,L,0,4,,23-15,1,up 0.5,Wood,Anderson,,3:18,N,43534,1.62,--,
39,Sunday May 14,boxscore,COL,,LAD,W,9,6,,24-15,1,up 1.5,Senzatela,Urías,Holland,3:38,D,41051,1.61,+,
40,Tuesday May 16,boxscore,COL,@,MIN,W,7,3,,25-15,1,up 2.5,Freeland,Hughes,Holland,3:13,N,24295,1.27,++,
41,Thursday May 18 (1),boxscore,COL,@,MIN,W,5,1,,26-15,1,up 2.0,Márquez,Santana,Holland,2:53,D,20603,1.25,+++,2017-05-17 (Rain)
42,Thursday May 18 (2),boxscore,COL,@,MIN,L,0,2,,26-16,1,up 2.0,Berríos,Chatwood,Kintzler,2:52,N,17140,1.25,-,
43,Friday May 19,boxscore,COL,@,CIN,W,12,6,,27-16,1,up 2.0,Anderson,Bonilla,,3:38,N,23184,1.33,+,
44,Saturday May 20,boxscore,COL,@,CIN,L,8,12,,27-17,1,up 1.0,Wojciechowski,Dunn,,3:32,D,25188,1.31,-,
45,Sunday May 21,boxscore,COL,@,CIN,W,6,4,,28-17,1,up 2.0,Freeland,Arroyo,Holland,3:14,D,23352,1.32,+,
46,Monday May 22,boxscore,COL,@,PHI,W,8,1,,29-17,1,up 2.0,Hoffman,Eickhoff,,3:03,N,21251,1.26,++,
47,Tuesday May 23,boxscore,COL,@,PHI,W,8,2,,30-17,1,up 2.0,Márquez,Eflin,,2:44,N,17109,1.26,+++,
48,Wednesday May 24,boxscore,COL,@,PHI,W,7,2,,31-17,1,up 2.0,Chatwood,Hellickson,,3:09,N,19160,1.22,++++,
49,Thursday May 25,boxscore,COL,@,PHI,L-wo,1,2,11,31-18,1,up 1.0,Gómez,Oberg,,3:39,D,18143,1.18,-,
50,Friday May 26,boxscore,COL,,STL,W,10,0,,32-18,1,up 1.0,Senzatela,Martínez,,2:25,N,40312,1.31,+,
51,Saturday May 27,boxscore,COL,,STL,L,0,3,,32-19,1,up 1.0,Wainwright,Freeland,Oh,3:15,N,48106,1.28,-,
52,Sunday May 28,boxscore,COL,,STL,W,8,4,,33-19,1,up 1.5,Márquez,Lynn,,2:52,D,48372,1.27,+,
53,Monday May 29,boxscore,COL,,SEA,L,5,6,,33-20,1,up 0.5,Gaviglio,Chatwood,Díaz,3:25,D,40298,1.21,-,
54,Tuesday May 30,boxscore,COL,,SEA,L,4,10,,33-21,2,0.5,Miranda,Anderson,,3:11,N,33258,1.22,--,
55,Wednesday May 31,boxscore,COL,@,SEA,L,0,5,,33-22,2,0.5,Paxton,Senzatela,,2:46,N,16750,1.22,---,
56,Thursday Jun 1,boxscore,COL,@,SEA,W,6,3,,34-22,1,Tied,Freeland,Gallardo,Holland,3:28,D,21536,1.25,+,
57,Friday Jun 2,boxscore,COL,@,SDP,L,5,8,,34-23,2,0.5,Richard,Márquez,Maurer,3:02,N,20932,1.25,-,
58,Saturday Jun 3,boxscore,COL,@,SDP,W,10,1,,35-23,2,0.5,Chatwood,Chacín,,2:52,D,20996,1.30,+,
59,Sunday Jun 4,boxscore,COL,@,SDP,W,3,1,,36-23,1,up 0.5,Hoffman,Cosart,Holland,3:06,D,24763,1.24,++,
60,Tuesday Jun 6,boxscore,COL,,CLE,W,11,3,,37-23,1,up 2.0,Senzatela,Clevinger,,2:54,N,39508,1.23,+++,
61,Wednesday Jun 7,boxscore,COL,,CLE,W,8,1,,38-23,1,up 2.0,Freeland,Bauer,,3:27,D,36909,1.19,++++,
62,Thursday Jun 8,boxscore,COL,@,CHC,W,4,1,,39-23,1,up 2.0,Chatwood,Lester,Holland,2:44,N,39385,1.21,+++++,
63,Friday Jun 9,boxscore,COL,@,CHC,W,5,3,,40-23,1,up 2.5,Rusin,Frankoff,Holland,3:42,D,41229,1.21,++++++,
64,Saturday Jun 10,boxscore,COL,@,CHC,W,9,1,,41-23,1,up 2.5,Hoffman,Butler,,3:09,D,41226,1.12,+++++++,
