Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
65,Sunday Jun 11,boxscore,COL,@,CHC,L,5,7,,41-24,1,up 1.5,Edwards,Lyles,Davis,3:20,D,41116,1.05,-,
66,Monday Jun 12,boxscore,COL,@,PIT,L,2,7,,41-25,1,up 1.0,Taillon,Freeland,,3:11,N,16320,1.11,--,
67,Tuesday Jun 13,boxscore,COL,@,PIT,L,2,5,,41-26,1,Tied,Cole,Ottavino,,2:42,N,16764,1.16,---,
68,Wednesday Jun 14,boxscore,COL,@,PIT,W,5,1,,42-26,1,Tied,Márquez,Kuhl,,3:19,N,17308,1.16,+,
69,Thursday Jun 15,boxscore,COL,,SFG,W-wo,10,9,,43-26,1,up 1.0,Holland,Strickland,,3:55,N,40747,1.15,++,
70,Friday Jun 16,boxscore,COL,,SFG,W,10,8,,44-26,1,up 1.0,Senzatela,Samardzija,Holland,3:09,N,46632,1.13,+++,
71,Saturday Jun 17,boxscore,COL,,SFG,W,5,1,,45-26,1,up 1.0,Freeland,Cain,,3:01,D,48035,1.08,++++,
72,Sunday Jun 18,boxscore,COL,,SFG,W-wo,7,5,,46-26,1,up 1.0,Estévez,Melancon,,3:16,D,48341,1.01,+++++,
73,Tuesday Jun 20,boxscore,COL,,ARI,W,4,3,,47-26,1,up 0.5,Ottavino,Greinke,Holland,2:45,N,35016,1.38,++++++,
74,Wednesday Jun 21,boxscore,COL,,ARI,L,5,16,,47-27,2,0.5,Walker,Hoffman,,3:28,N,40918,1.35,-,
75,Thursday Jun 22,boxscore,COL,,ARI,L,3,10,,47-28,2,1.5,Godley,Senzatela,,3:06,D,40681,1.30,--,
76,Friday Jun 23,boxscore,COL,@,LAD,L,1,6,,47-29,2,2.5,Wood,Freeland,,2:55,N,43787,1.42,---,
77,Saturday Jun 24,boxscore,COL,@,LAD,L,0,4,,47-30,3,3.5,Kershaw,Chatwood,,3:18,N,50403,1.37,----,
78,Sunday Jun 25,boxscore,COL,@,LAD,L,6,12,,47-31,3,4.5,Báez,Ottavino,Jansen,4:19,D,41605,1.36,-----,
79,Monday Jun 26,boxscore,COL,@,SFG,L,2,9,,47-32,3,4.5,Samardzija,Márquez,,3:22,N,41388,.95,------,
80,Tuesday Jun 27,boxscore,COL,@,SFG,L-wo,3,4,14,47-33,3,5.5,Gearrin,Qualls,,4:45,N,41331,1.01,-------,
81,Wednesday Jun 28,boxscore,COL,@,SFG,L,3,5,,47-34,3,5.5,Blach,Freeland,Strickland,3:05,D,41286,.96,--------,
82,Friday Jun 30,boxscore,COL,@,ARI,W,6,3,,48-34,3,6.0,Gray,Ray,Holland,3:31,N,23275,1.23,+,
83,Saturday Jul 1,boxscore,COL,@,ARI,L,2,6,,48-35,3,7.0,Greinke,Chatwood,Rodney,2:38,N,46338,1.20,-,
84,Sunday Jul 2,boxscore,COL,@,ARI,L-wo,3,4,,48-36,3,7.0,Rodney,Ottavino,,3:04,D,34556,1.19,--,
85,Monday Jul 3,boxscore,COL,,CIN,W,5,3,,49-36,3,6.5,Hoffman,Castillo,Holland,2:48,N,49131,.97,+,
86,Tuesday Jul 4,boxscore,COL,,CIN,L,1,8,,49-37,3,7.5,Bailey,Freeland,,2:58,N,48338,.97,-,
87,Wednesday Jul 5,boxscore,COL,,CIN,W,5,3,,50-37,3,7.5,Gray,Feldman,Holland,3:24,N,32188,.95,+,
88,Thursday Jul 6,boxscore,COL,,CIN,L,3,6,,50-38,3,8.5,Romano,Chatwood,,3:04,D,27328,.94,-,
89,Friday Jul 7,boxscore,COL,,CHW,W,12,4,,51-38,3,8.5,Márquez,Holland,,3:08,N,38386,.92,+,
90,Saturday Jul 8,boxscore,COL,,CHW,L,4,5,,51-39,3,9.5,Kahnle,Holland,Robertson,3:09,N,48118,.91,-,
91,Sunday Jul 9,boxscore,COL,,CHW,W,10,0,,52-39,3,9.5,Freeland,Rodón,,3:13,D,36541,.92,+,
92,Friday Jul 14,boxscore,COL,@,NYM,L,2,14,,52-40,3,10.5,deGrom,Gray,,3:21,N,27582,.91,-,
93,Saturday Jul 15,boxscore,COL,@,NYM,L,3,9,,52-41,3,11.5,Lugo,Chatwood,,3:00,N,34783,.91,--,
94,Sunday Jul 16,boxscore,COL,@,NYM,W,13,4,,53-41,3,11.5,Hoffman,Matz,,3:26,D,28745,.96,+,
95,Monday Jul 17,boxscore,COL,,SDP,W,9,6,,54-41,3,11.0,Márquez,Perdomo,Holland,3:23,N,37561,.87,++,
96,Tuesday Jul 18,boxscore,COL,,SDP,W,9,7,,55-41,3,11.0,Senzatela,Lamet,Holland,3:14,N,40101,.86,+++,
97,Wednesday Jul 19,boxscore,COL,,SDP,W,18,4,,56-41,2,11.0,Gray,Richard,,3:30,D,37128,.80,++++,
98,Friday Jul 21,boxscore,COL,,PIT,L,5,13,,56-42,3,10.5,Williams,Hoffman,,3:36,N,41192,.82,-,
99,Saturday Jul 22,boxscore,COL,,PIT,W,7,3,,57-42,2,10.5,Márquez,Kuhl,Holland,3:07,N,48235,.88,+,
100,Sunday Jul 23,boxscore,COL,,PIT,W,13,3,,58-42,2,10.5,Freeland,Nova,,3:19,D,40118,.86,++,
101,Monday Jul 24,boxscore,COL,@,STL,L,2,8,,58-43,2,11.5,Leake,Senzatela,,2:50,N,40486,.70,-,
102,Tuesday Jul 25,boxscore,COL,@,STL,L-wo,2,3,,58-44,2,12.5,Rosenthal,McGee,,3:11,N,41514,.72,--,
103,Wednesday Jul 26,boxscore,COL,@,STL,L,5,10,,58-45,3,13.5,Martínez,Hoffman,,3:23,N,38162,.80,---,
104,Saturday Jul 29,boxscore,COL,@,WSN,W,4,2,,59-45,3,14.0,Márquez,Roark,Holland,2:49,N,33989,.77,+,
105,Sunday Jul 30 (1),boxscore,COL,@,WSN,W,10,6,,60-45,3,14.5,Freeland,Fedde,Holland,3:48,D,33248,.68,++,2017-07-28 (Rain)
106,Sunday Jul 30 (2),boxscore,COL,@,WSN,L,1,3,,60-46,3,14.5,Jackson,Gray,Doolittle,2:31,N,32118,.65,-,
107,Tuesday Aug 1,boxscore,COL,,NYM,W-wo,5,4,,61-46,2,14.5,Dunn,Robles,,3:24,N,36698,.68,+,
108,Wednesday Aug 2,boxscore,COL,,NYM,L,5,10,,61-47,3,14.5,Bradford,Chatwood,,3:15,N,36945,.62,-,
109,Thursday Aug 3,boxscore,COL,,NYM,W-wo,5,4,,62-47,3,14.5,Holland,Robles,,3:03,D,35276,.65,+,
110,Friday Aug 4,boxscore,COL,,PHI,W,4,3,,63-47,3,14.5,Dunn,García,Holland,3:41,N,35092,.60,++,
111,Saturday Aug 5,boxscore,COL,,PHI,W,8,5,,64-47,2,14.5,Gray,Pivetta,,2:53,N,40563,.51,+++,
112,Sunday Aug 6,boxscore,COL,,PHI,L,2,3,,64-48,2,15.5,Ramos,Holland,Neris,3:14,D,48069,.48,-,
113,Tuesday Aug 8,boxscore,COL,@,CLE,L-wo,1,4,,64-49,3,15.5,Kluber,Holland,,2:49,N,26088,.51,--,
114,Wednesday Aug 9,boxscore,COL,@,CLE,W,3,2,12,65-49,2,15.5,Estévez,McAllister,Chatwood,3:59,D,25539,.56,+,
115,Friday Aug 11,boxscore,COL,@,MIA,L,3,6,,65-50,2,16.0,Tazawa,McGee,Ziegler,3:24,N,20096,.45,-,
116,Saturday Aug 12,boxscore,COL,@,MIA,L,3,4,,65-51,2,17.0,Nicolino,Hoffman,Ziegler,3:07,N,20399,.55,--,
117,Sunday Aug 13,boxscore,COL,@,MIA,L,3,5,,65-52,2,18.0,Guerra,Márquez,Despaigne,3:06,D,20769,.65,---,
118,Monday Aug 14,boxscore,COL,,ATL,W,3,0,,66-52,2,17.5,Dunn,Brothers,Holland,2:44,N,33641,.68,+,
119,Tuesday Aug 15,boxscore,COL,,ATL,L,3,4,,66-53,2,18.5,Freeman,Neshek,Vizcaíno,2:53,N,28655,.63,-,
120,Wednesday Aug 16,boxscore,COL,,ATL,W,17,2,,67-53,2,18.5,Gray,Foltynewicz,,3:16,N,30695,.67,+,
121,Thursday Aug 17,boxscore,COL,,ATL,L,4,10,,67-54,2,19.0,Sims,Hoffman,,3:27,D,30020,.61,-,
122,Friday Aug 18,boxscore,COL,,MIL,W,8,4,,68-54,2,19.0,Márquez,Garza,,2:55,N,32385,.82,+,
123,Saturday Aug 19,boxscore,COL,,MIL,L,3,6,,68-55,2,20.0,Swarzak,Holland,Knebel,3:14,N,47216,.73,-,
124,Sunday Aug 20,boxscore,COL,,MIL,L,4,8,,68-56,2,20.0,Anderson,Freeland,Knebel,4:04,D,32426,.88,--,
125,Tuesday Aug 22,boxscore,COL,@,KCR,L,2,3,,68-57,3,21.5,Duffy,Gray,Alexander,2:51,N,22868,.79,---,
126,Wednesday Aug 23,boxscore,COL,@,KCR,L-wo,4,6,,68-58,3,21.5,Maurer,Holland,,3:36,N,25752,.96,----,
127,Thursday Aug 24,boxscore,COL,@,KCR,W,3,2,,69-58,3,21.5,Ottavino,Minor,Holland,2:43,D,25314,1.00,+,
128,Friday Aug 25,boxscore,COL,@,ATL,L,2,5,,69-59,3,22.5,Teheran,Bettis,Vizcaíno,2:32,N,33577,.93,-,
129,Saturday Aug 26,boxscore,COL,@,ATL,W,7,6,,70-59,3,21.5,Neshek,Vizcaíno,McGee,3:24,N,32448,.94,+,
130,Sunday Aug 27,boxscore,COL,@,ATL,W,3,0,,71-59,3,20.5,Gray,Foltynewicz,McGee,3:09,D,28154,.93,++,
131,Monday Aug 28,boxscore,COL,,DET,L,3,4,,71-60,3,21.0,Zimmermann,Senzatela,Greene,3:29,N,30754,.89,-,
132,Tuesday Aug 29,boxscore,COL,,DET,W,7,3,,72-60,3,20.0,Neshek,Fulmer,,3:08,N,30721,.97,+,
133,Wednesday Aug 30,boxscore,COL,,DET,L,2,6,,72-61,3,20.0,Verlander,Bettis,,3:03,D,29281,.87,-,
134,Friday Sep 1,boxscore,COL,,ARI,L,5,9,,72-62,3,20.5,Walker,Freeland,,3:48,N,29628,1.14,--,
135,Saturday Sep 2,boxscore,COL,,ARI,L,2,6,,72-63,3,20.0,Corbin,Gray,,3:38,N,39442,1.22,---,
136,Sunday Sep 3,boxscore,COL,,ARI,L,1,5,,72-64,3,20.0,Godley,Márquez,Sherfy,3:13,D,33838,1.23,----,
137,Monday Sep 4,boxscore,COL,,SFG,W-wo,4,3,,73-64,3,19.0,Holland,Okert,,3:14,D,28300,1.22,+,
138,Tuesday Sep 5,boxscore,COL,,SFG,W,9,6,,74-64,3,18.0,Rusin,Blach,Holland,3:31,N,24245,1.22,++,
139,Wednesday Sep 6,boxscore,COL,,SFG,L,3,11,,74-65,3,18.0,Cueto,Freeland,,3:32,N,26674,1.16,-,
140,Thursday Sep 7,boxscore,COL,@,LAD,W,9,1,,75-65,3,17.0,Gray,Kershaw,,3:35,N,51492,1.23,+,
141,Friday Sep 8,boxscore,COL,@,LAD,W,5,4,,76-65,3,16.0,Rusin,Darvish,Holland,3:32,N,53632,1.19,++,
142,Saturday Sep 9,boxscore,COL,@,LAD,W,6,5,,77-65,3,15.0,Bettis,Wood,Holland,3:29,N,52884,1.17,+++,
143,Sunday Sep 10,boxscore,COL,@,LAD,W,8,1,,78-65,3,14.0,Chatwood,Hill,,3:16,D,50161,1.10,++++,
144,Monday Sep 11,boxscore,COL,@,ARI,W,5,4,,79-65,3,13.0,Anderson,Barrett,Holland,3:40,N,24178,1.10,+++++,
145,Tuesday Sep 12,boxscore,COL,@,ARI,W,4,2,,80-65,3,13.0,Gray,Hernandez,Rusin,2:54,N,27526,.88,++++++,
146,Wednesday Sep 13,boxscore,COL,@,ARI,L,2,8,,80-66,3,14.0,Corbin,Márquez,,3:00,N,26714,.91,-,
147,Thursday Sep 14,boxscore,COL,@,ARI,L,0,7,,80-67,3,14.5,Godley,Bettis,,2:53,D,20317,1.04,--,
148,Friday Sep 15,boxscore,COL,,SDP,W,6,1,,81-67,3,14.5,Chatwood,Richard,,2:50,N,39243,1.29,+,
149,Saturday Sep 16,boxscore,COL,,SDP,W,16,0,,82-67,3,14.5,Anderson,Lyles,,3:13,N,48247,1.15,++,
150,Sunday Sep 17,boxscore,COL,,SDP,L,3,4,,82-68,3,14.5,Yates,Holland,Hand,3:00,D,34634,.74,-,
151,Tuesday Sep 19,boxscore,COL,@,SFG,L-wo,3,4,,82-69,3,14.0,Dyson,Rusin,,2:57,N,40686,1.20,--,
152,Wednesday Sep 20,boxscore,COL,@,SFG,L,0,4,,82-70,3,14.0,Moore,Chatwood,,2:52,D,39775,1.60,---,
153,Thursday Sep 21,boxscore,COL,@,SDP,L,0,3,,82-71,3,15.0,Richard,Anderson,Hand,2:46,N,30944,1.79,----,
154,Friday Sep 22,boxscore,COL,@,SDP,W,4,1,,83-71,3,15.0,Gray,Lyles,Holland,2:51,N,25273,1.95,+,
155,Saturday Sep 23,boxscore,COL,@,SDP,L,0,5,,83-72,3,15.0,Chacín,Bettis,,3:11,N,33899,1.82,-,
156,Sunday Sep 24,boxscore,COL,@,SDP,W,8,4,,84-72,3,15.0,Márquez,Perdomo,,3:02,D,28339,2.14,+,
157,Monday Sep 25,boxscore,COL,,MIA,L,4,5,,84-73,3,16.0,Despaigne,Chatwood,Barraclough,3:30,N,24685,1.50,-,
158,Tuesday Sep 26,boxscore,COL,,MIA,W,6,0,,85-73,3,16.0,Anderson,Ureña,,2:39,N,30409,1.83,+,
159,Wednesday Sep 27,boxscore,COL,,MIA,W,15,9,,86-73,3,16.0,Gray,Conley,,3:27,D,27497,1.88,++,
160,Friday Sep 29,boxscore,COL,,LAD,W,9,1,,87-73,3,15.0,Bettis,Ryu,,3:19,N,48395,.67,+++,
161,Saturday Sep 30,boxscore,COL,,LAD,L,3,5,,87-74,3,16.0,Morrow,Chatwood,Jansen,2:59,N,48103,.47,-,
162,Sunday Oct 1,boxscore,COL,,LAD,L,3,6,,87-75,3,17.0,Maeda,Freeland,Fields,3:39,D,32946,.00,--,
