Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Mar 31,boxscore,COL,@,MIA,L,1,10,,0-1,4,1.0,Fernández,De La Rosa,,2:58,N,37116,.93,-,
2,Tuesday Apr 1,boxscore,COL,@,MIA,L,3,4,,0-2,4,2.0,Eovaldi,Anderson,Cishek,2:24,N,15906,.89,--,
3,Wednesday Apr 2,boxscore,COL,@,MIA,W,6,5,,1-2,3,2.0,Lyles,Álvarez,Hawkins,3:23,N,15866,.87,+,
4,Thursday Apr 3,boxscore,COL,@,MIA,L,5,8,,1-3,4,2.5,Ramos,Belisle,Cishek,3:14,D,15378,.94,-,
5,Friday Apr 4,boxscore,COL,,ARI,W,12,2,,2-3,3,2.0,Nicasio,Delgado,,3:13,D,49130,.93,+,
6,Saturday Apr 5,boxscore,COL,,ARI,W,9,4,,3-3,3,2.0,Kahnle,McCarthy,,3:09,N,33078,.95,++,
7,Sunday Apr 6,boxscore,COL,,ARI,L,3,5,,3-4,3,2.0,Miley,Anderson,Reed,2:29,D,29779,1.02,-,
8,Monday Apr 7,boxscore,COL,,CHW,W,8,1,,4-4,3,1.5,Lyles,Paulino,,2:42,N,22550,.89,+,
9,Tuesday Apr 8,boxscore,COL,,CHW,L,3,15,,4-5,3,2.5,Quintana,Morales,,3:10,N,25393,.93,-,
10,Wednesday Apr 9,boxscore,COL,,CHW,W,10,4,,5-5,3,1.5,Brothers,Downs,,3:23,D,22745,.89,+,
11,Friday Apr 11,boxscore,COL,@,SFG,L,5,6,,5-6,3,2.0,Bumgarner,De La Rosa,Romo,3:16,N,41707,1.12,-,
12,Saturday Apr 12,boxscore,COL,@,SFG,W,1,0,,6-6,3,2.0,Kahnle,Cain,Hawkins,2:48,D,41917,1.04,+,
13,Sunday Apr 13,boxscore,COL,@,SFG,L-wo,4,5,10,6-7,3,3.0,Romo,Brothers,,2:41,D,41490,1.16,-,
14,Monday Apr 14,boxscore,COL,@,SDP,L,4,5,,6-8,4,3.5,Thayer,Brothers,Street,3:19,N,14784,1.06,--,
15,Tuesday Apr 15,boxscore,COL,@,SDP,W,3,2,,7-8,3,2.5,Nicasio,Erlin,Hawkins,3:29,N,18012,.98,+,
