Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 1,boxscore,COL,,LAD,W,8,5,,1-0,1,Tied,González,Kershaw,Bard,3:46,D,20570,1.03,+,
2,Friday Apr 2,boxscore,COL,,LAD,L,6,11,,1-1,2,1.0,Bauer,Senzatela,,3:19,N,20363,1.08,-,
3,Saturday Apr 3,boxscore,COL,,LAD,L,5,6,,1-2,3,2.0,Treinen,Givens,Jansen,3:35,N,20688,1.04,--,
4,Sunday Apr 4,boxscore,COL,,LAD,L,2,4,,1-3,4,2.0,Urías,Gomber,Knebel,2:51,D,20368,1.07,---,
5,Tuesday Apr 6,boxscore,COL,,ARI,L,8,10,13,1-4,5,3.5,Peacock,Bowden,,4:29,N,10240,.90,----,
6,Wednesday Apr 7,boxscore,COL,,ARI,W,8,0,,2-4,4,2.5,Senzatela,Bumgarner,,2:57,N,12894,.83,+,
7,Thursday Apr 8,boxscore,COL,,ARI,W,7,3,,3-4,4,2.0,Gray,Kelly,Bard,2:51,D,10836,.95,++,
8,Friday Apr 9,boxscore,COL,@,SFG,L,1,3,,3-5,4,3.0,Cueto,Gomber,McGee,2:54,D,7390,1.00,-,
9,Saturday Apr 10,boxscore,COL,@,SFG,L,3,4,,3-6,4,4.0,Baragar,Bowden,McGee,3:13,D,6176,.93,--,
10,Sunday Apr 11,boxscore,COL,@,SFG,L,0,4,,3-7,5,5.0,DeSclafani,Márquez,,3:00,D,6560,.86,---,
11,Tuesday Apr 13,boxscore,COL,@,LAD,L,0,7,,3-8,5,6.0,Bauer,Senzatela,,3:08,N,15021,.80,----,
12,Wednesday Apr 14,boxscore,COL,@,LAD,L,2,4,,3-9,5,7.0,Knebel,Gray,Jansen,3:36,N,15093,.74,-----,
13,Thursday Apr 15,boxscore,COL,@,LAD,L,5,7,,3-10,5,8.0,Nelson,Almonte,Price,3:01,N,15129,.70,------,
14,Saturday Apr 17 (1),boxscore,COL,,NYM,L,3,4,7,3-11,5,9.0,deGrom,Bard,Díaz,2:27,D,,.52,-------,2021-04-16 (Inclement weather)
15,Saturday Apr 17 (2),boxscore,COL,,NYM,W,7,2,7,4-11,5,9.0,Márquez,Lucchesi,,2:11,N,13906,.47,+,
16,Sunday Apr 18,boxscore,COL,,NYM,L,1,2,,4-12,5,9.0,Stroman,Senzatela,Díaz,2:38,D,15082,.50,-,
17,Tuesday Apr 20,boxscore,COL,,HOU,W,6,2,,5-12,5,8.5,Gray,Garcia,,3:08,N,10144,.45,+,
18,Wednesday Apr 21,boxscore,COL,,HOU,W,6,3,,6-12,5,8.0,Gomber,Urquidy,,2:34,D,7120,.48,++,
19,Friday Apr 23,boxscore,COL,,PHI,W-wo,5,4,,7-12,5,6.5,Givens,Neris,,3:22,N,14025,.56,+++,
20,Saturday Apr 24,boxscore,COL,,PHI,L,5,7,,7-13,5,7.5,Nola,Chacín,Neris,3:11,N,20214,.60,-,
21,Sunday Apr 25,boxscore,COL,,PHI,W,12,2,,8-13,5,6.5,Gray,Anderson,,3:16,D,20244,.53,+,
22,Monday Apr 26,boxscore,COL,@,SFG,L,0,12,,8-14,5,6.5,DeSclafani,Gomber,,2:27,N,4129,.66,-,
23,Tuesday Apr 27,boxscore,COL,@,SFG,W,7,5,10,9-14,5,5.5,Bard,Santos,Estévez,3:30,N,5595,.62,+,
24,Wednesday Apr 28,boxscore,COL,@,SFG,L,3,7,,9-15,5,6.5,Wood,Márquez,,3:20,N,6163,.69,-,
25,Thursday Apr 29,boxscore,COL,@,ARI,L,3,5,,9-16,5,7.0,Smith,Stephenson,Crichton,3:01,N,6843,.58,--,
26,Friday Apr 30,boxscore,COL,@,ARI,L,2,7,,9-17,5,7.0,Bumgarner,Gray,,2:58,N,13184,.55,---,
27,Saturday May 1,boxscore,COL,@,ARI,W,14,6,,10-17,5,6.0,Gomber,Gallen,,3:41,N,15734,.52,+,
28,Sunday May 2,boxscore,COL,@,ARI,L,4,8,,10-18,5,7.0,Devenski,Bard,,3:29,D,11395,.58,-,
29,Tuesday May 4 (1),boxscore,COL,,SFG,L,4,12,7,10-19,5,7.0,Wisler,Márquez,,2:38,D,,.53,--,2021-05-03 (Inclement weather)
30,Tuesday May 4 (2),boxscore,COL,,SFG,W-wo,8,6,7,11-19,5,7.0,Bowden,Doval,,3:04,N,10213,.45,+,
31,Wednesday May 5,boxscore,COL,,SFG,W,6,5,,12-19,5,6.0,Gray,Webb,Bard,3:08,D,9521,.55,++,
32,Friday May 7,boxscore,COL,@,STL,L,0,5,,12-20,5,7.0,Flaherty,Gomber,,2:42,N,13435,.56,-,
33,Saturday May 8,boxscore,COL,@,STL,L,8,9,,12-21,5,8.0,Martínez,González,Reyes,3:39,D,13390,.51,--,
34,Sunday May 9,boxscore,COL,@,STL,L,0,2,,12-22,5,8.0,Wainwright,Márquez,Helsley,2:48,D,13380,.47,---,
35,Tuesday May 11,boxscore,COL,,SDP,L,1,8,,12-23,5,9.5,Díaz,Senzatela,,3:04,N,8825,.44,----,
36,Wednesday May 12 (1),boxscore,COL,,SDP,L,3,5,7,12-24,5,9.5,Pagán,Gray,Melancon,3:09,D,,.34,-----,2021-05-10 (Inclement weather)
37,Wednesday May 12 (2),boxscore,COL,,SDP,W-wo,3,2,8,13-24,5,9.5,Almonte,Ramirez,,2:55,N,11968,.29,+,
38,Thursday May 13,boxscore,COL,,CIN,W,13,8,,14-24,5,9.5,González,Castillo,,3:36,N,13647,.34,++,
39,Friday May 14,boxscore,COL,,CIN,W,9,6,,15-24,5,8.5,Márquez,Miley,Bard,3:20,N,20232,.36,+++,
40,Saturday May 15,boxscore,COL,,CIN,L,5,6,12,15-25,5,8.5,Sims,Santos,Hembree,4:10,N,20136,.41,-,
41,Sunday May 16,boxscore,COL,,CIN,L,6,7,,15-26,5,9.5,Doolittle,Givens,Antone,3:56,D,15541,.32,--,
42,Monday May 17,boxscore,COL,@,SDP,L,0,7,,15-27,5,10.5,Darvish,Gray,,2:55,N,15250,.34,---,
43,Tuesday May 18,boxscore,COL,@,SDP,L-wo,1,2,10,15-28,5,11.5,Johnson,Bard,,3:40,N,15250,.27,----,
44,Wednesday May 19,boxscore,COL,@,SDP,L,0,3,,15-29,5,12.5,Musgrove,González,Melancon,2:52,D,15250,.23,-----,
45,Friday May 21,boxscore,COL,,ARI,W,7,1,,16-29,5,12.0,Márquez,Frankoff,,2:45,N,18158,.16,+,
46,Saturday May 22,boxscore,COL,,ARI,W,7,6,,17-29,5,12.0,Kinley,Bumgarner,Bard,3:19,D,20183,.17,++,
