Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,COL,,LAD,L,3,5,,0-1,5,1.0,Buehler,Freeland,Kimbrel,3:09,D,48627,1.01,-,
2,Saturday Apr 9,boxscore,COL,,LAD,W,3,2,,1-1,2,0.5,Estévez,Treinen,Bard,2:48,N,48087,.92,+,
3,Sunday Apr 10,boxscore,COL,,LAD,W,9,4,,2-1,2,0.5,Chacín,Urías,Blach,3:13,D,40825,1.01,++,
4,Monday Apr 11,boxscore,COL,@,TEX,W,6,4,10,3-1,2,0.5,Bard,Holland,Goudeau,4:01,D,35052,.94,+++,
5,Tuesday Apr 12,boxscore,COL,@,TEX,W,4,1,,4-1,1,up 0.5,Chacín,Pérez,Bard,3:09,N,15862,.97,++++,
6,Thursday Apr 14,boxscore,COL,,CHC,L,2,5,,4-2,1,Tied,Thompson,Freeland,Givens,3:02,N,24444,1.08,-,
7,Friday Apr 15,boxscore,COL,,CHC,W,6,5,,5-2,1,Tied,Blach,Stroman,Bard,3:26,N,35450,1.02,+,
8,Saturday Apr 16,boxscore,COL,,CHC,W,9,6,,6-2,1,Tied,Senzatela,Leiter,Bard,2:58,N,37476,1.02,++,
9,Sunday Apr 17,boxscore,COL,,CHC,L,4,6,,6-3,3,1.0,Wick,Gomber,Robertson,3:19,D,36391,1.06,-,
10,Monday Apr 18,boxscore,COL,,PHI,W,4,1,,7-3,3,1.0,Kuhl,Nola,Colomé,2:53,N,20403,.98,+,
11,Tuesday Apr 19,boxscore,COL,,PHI,W,6,5,,8-3,1,Tied,Lawrence,Domínguez,Bard,3:02,N,23800,1.05,++,
12,Wednesday Apr 20,boxscore,COL,,PHI,L,6,9,,8-4,2,1.0,Hand,Chacín,Knebel,3:09,D,21490,1.07,-,
13,Saturday Apr 23 (1),boxscore,COL,@,DET,L,0,13,,8-5,3,1.0,Skubal,Senzatela,,3:02,D,37566,1.02,--,2022-04-22 (Rain)
14,Saturday Apr 23 (2),boxscore,COL,@,DET,W,3,2,,9-5,3,1.0,Gomber,Brieske,Colomé,2:47,N,28635,.95,+,
15,Sunday Apr 24,boxscore,COL,@,DET,W,6,2,,10-5,3,1.0,Kuhl,Alexander,,2:55,D,20088,1.01,++,
16,Monday Apr 25,boxscore,COL,@,PHI,L,2,8,,10-6,3,2.0,Gibson,Freeland,,3:09,N,20130,1.08,-,
17,Tuesday Apr 26,boxscore,COL,@,PHI,L,3,10,,10-7,4,2.5,Eflin,Márquez,,3:19,N,22300,1.02,--,
18,Wednesday Apr 27,boxscore,COL,@,PHI,L,3,7,,10-8,4,2.5,Suárez,Feltner,,3:20,N,20127,.99,---,
19,Thursday Apr 28,boxscore,COL,@,PHI,L,1,7,,10-9,4,3.0,Wheeler,Gomber,,3:08,D,20098,.99,----,
20,Friday Apr 29,boxscore,COL,,CIN,W,10,4,,11-9,4,2.5,Senzatela,Greene,,3:25,N,30206,.89,+,
21,Saturday Apr 30,boxscore,COL,,CIN,W,4,3,,12-9,4,2.0,Kuhl,Warren,Bard,2:31,N,32179,.90,++,
22,Sunday May 1,boxscore,COL,,CIN,W,10,1,,13-9,4,1.5,Freeland,Sanmartin,,2:56,D,32574,.97,+++,
23,Tuesday May 3,boxscore,COL,,WSN,L,2,10,,13-10,4,2.5,Fedde,Márquez,,2:39,N,20758,1.04,-,
24,Wednesday May 4,boxscore,COL,,WSN,W,5,2,,14-10,3,2.5,Gomber,Corbin,Bard,2:18,N,19387,.99,+,
25,Thursday May 5,boxscore,COL,,WSN,W,9,7,,15-10,3,2.0,Chacín,Sanchez,Bard,3:25,D,30139,.98,++,
26,Friday May 6,boxscore,COL,@,ARI,L,1,4,,15-11,3,2.5,Kelly,Estévez,Melancon,2:47,N,18551,1.11,-,
27,Saturday May 7,boxscore,COL,@,ARI,W,4,1,,16-11,3,3.0,Colomé,Melancon,Bard,3:19,N,24133,1.06,+,
28,Sunday May 8,boxscore,COL,@,ARI,L,0,4,,16-12,3,4.0,Gallen,Márquez,,2:44,D,19323,1.07,-,
29,Monday May 9,boxscore,COL,@,SFG,L,5,8,,16-13,4,4.0,Rodón,Gomber,,3:15,N,20039,1.06,--,
30,Tuesday May 10,boxscore,COL,@,SFG,L,2,9,,16-14,5,5.0,Wood,Senzatela,,3:10,N,21472,1.02,---,
31,Wednesday May 11,boxscore,COL,@,SFG,L,1,7,,16-15,5,5.0,Cobb,Kuhl,,3:14,D,23341,.96,----,
32,Friday May 13,boxscore,COL,,KCR,L,10,14,,16-16,5,4.5,Coleman,Freeland,Barlow,3:53,N,35176,.85,-----,
33,Saturday May 14,boxscore,COL,,KCR,W,10,4,,17-16,5,3.5,Márquez,Hernández,,2:39,N,40534,.82,+,
