Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 6,boxscore,COL,@,MIL,W,10,0,,1-0,1,Tied,Kendrick,Lohse,,3:00,D,46032,.94,+,
2,Tuesday Apr 7,boxscore,COL,@,MIL,W,5,2,,2-0,1,up 1.0,Lyles,Garza,Hawkins,2:48,N,30222,.99,++,
3,Wednesday Apr 8,boxscore,COL,@,MIL,W,5,4,10,3-0,1,up 1.0,Hawkins,Rodríguez,Axford,3:15,N,28720,1.03,+++,
4,Friday Apr 10,boxscore,COL,,CHC,W,5,1,,4-0,1,up 1.5,Bergman,Wood,,3:01,D,49303,1.05,++++,
5,Saturday Apr 11,boxscore,COL,,CHC,L,5,9,,4-1,1,up 1.0,Hammel,Kendrick,,3:19,N,43812,1.13,-,
6,Sunday Apr 12,boxscore,COL,,CHC,L,5,6,,4-2,1,up 0.5,Ramírez,Hawkins,Rondón,3:05,D,41363,1.08,--,
7,Monday Apr 13,boxscore,COL,@,SFG,W,2,0,,5-2,1,up 1.0,Butler,Heston,Betancourt,2:58,D,42019,1.11,+,
8,Tuesday Apr 14,boxscore,COL,@,SFG,W,4,1,,6-2,1,up 1.0,Oberg,Hudson,Ottavino,3:09,N,41051,1.23,++,
9,Wednesday Apr 15,boxscore,COL,@,SFG,W,4,2,,7-2,1,up 1.0,Matzek,Lincecum,Ottavino,2:51,N,41188,1.22,+++,
10,Friday Apr 17,boxscore,COL,@,LAD,L,3,7,,7-3,1,Tied,Kershaw,Kendrick,,3:18,N,48950,1.33,-,
11,Saturday Apr 18,boxscore,COL,@,LAD,L,3,6,,7-4,2,1.0,Greinke,Lyles,Peralta,2:55,N,45912,1.29,--,
12,Sunday Apr 19,boxscore,COL,@,LAD,L,0,7,,7-5,3,2.0,McCarthy,Butler,,2:55,D,44666,1.25,---,
13,Monday Apr 20,boxscore,COL,,SDP,L,3,14,,7-6,3,2.5,Despaigne,De La Rosa,,3:09,N,22586,1.16,----,
