Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 4,boxscore,COL,@,ARI,W,10,5,,1-0,1,Tied,Miller,Greinke,,4:11,N,48165,1.06,+,
2,Tuesday Apr 5,boxscore,COL,@,ARI,L,6,11,,1-1,3,1.0,Clippard,Bergman,,3:14,N,21830,1.13,-,
3,Wednesday Apr 6,boxscore,COL,@,ARI,W,4,3,,2-1,2,1.0,Chatwood,Corbin,McGee,2:39,D,18572,1.07,+,
4,Friday Apr 8,boxscore,COL,,SDP,L,6,13,,2-2,3,1.5,Erlin,Lyles,,3:48,D,49360,1.05,-,
5,Saturday Apr 9,boxscore,COL,,SDP,L,3,16,,2-3,3,1.5,Pomeranz,De La Rosa,,3:24,N,35177,1.04,--,
6,Sunday Apr 10,boxscore,COL,,SDP,W,6,3,,3-3,3,1.5,Bettis,Shields,McGee,2:38,D,27587,1.03,+,
7,Tuesday Apr 12,boxscore,COL,,SFG,L,2,7,,3-4,3,2.5,Samardzija,Chatwood,,2:44,N,20814,1.10,-,
8,Wednesday Apr 13,boxscore,COL,,SFG,W,10,6,,4-4,3,1.5,Rusin,Peavy,,3:07,N,21891,1.08,+,
9,Thursday Apr 14,boxscore,COL,,SFG,W,11,6,,5-4,3,0.5,De La Rosa,Cain,,3:26,D,21226,1.14,++,
10,Friday Apr 15,boxscore,COL,@,CHC,W,6,1,,6-4,2,0.5,Bettis,Hendricks,,2:59,D,34437,1.05,+++,
11,Saturday Apr 16,boxscore,COL,@,CHC,L,2,6,,6-5,3,0.5,Arrieta,Bergman,,2:39,D,41702,1.12,-,
12,Sunday Apr 17,boxscore,COL,@,CHC,W,2,0,,7-5,2,0.5,Chatwood,Lester,McGee,2:38,D,41678,1.00,+,
13,Monday Apr 18,boxscore,COL,@,CIN,W,5,1,,8-5,1,Tied,Lyles,Ohlendorf,,2:41,N,12777,1.05,++,
14,Tuesday Apr 19,boxscore,COL,@,CIN,L,3,4,,8-6,1,Tied,Stephenson,De La Rosa,,2:52,N,13240,1.11,-,
15,Wednesday Apr 20,boxscore,COL,@,CIN,L-wo,5,6,,8-7,2,1.0,Ohlendorf,Bergman,,2:55,D,12979,1.08,--,
16,Friday Apr 22,boxscore,COL,,LAD,W,7,5,,9-7,2,0.5,Qualls,Hatcher,McGee,3:27,N,37153,1.16,+,
17,Saturday Apr 23,boxscore,COL,,LAD,L,1,4,,9-8,2,1.5,Maeda,Chatwood,Jansen,3:09,N,42179,1.30,-,
18,Sunday Apr 24,boxscore,COL,,LAD,L,10,12,,9-9,2,2.5,Blanton,McGee,Jansen,4:02,D,35962,1.20,--,
19,Monday Apr 25,boxscore,COL,,PIT,L,1,6,,9-10,3,2.5,Locke,Bettis,Schugel,2:59,N,20674,.96,---,
20,Tuesday Apr 26,boxscore,COL,,PIT,L,4,9,,9-11,4,2.5,Cole,De La Rosa,,3:19,N,20227,.94,----,
21,Wednesday Apr 27,boxscore,COL,,PIT,L,8,9,12,9-12,4,2.5,Lobstein,Estévez,Melancon,4:58,N,21354,.87,-----,
22,Friday Apr 29,boxscore,COL,@,ARI,W,9,0,,10-12,4,1.0,Chatwood,Ray,,3:21,N,23004,1.00,+,
23,Saturday Apr 30,boxscore,COL,@,ARI,W,5,2,,11-12,1,Tied,Qualls,Ziegler,McGee,3:16,N,32987,1.12,++,
24,Sunday May 1,boxscore,COL,@,ARI,W,6,3,,12-12,1,Tied,Bettis,Miller,McGee,3:23,D,25458,1.14,+++,
25,Monday May 2,boxscore,COL,@,SDP,L,1,2,,12-13,3,1.0,Shields,Gray,Rodney,3:01,N,19013,1.15,-,
26,Tuesday May 3,boxscore,COL,@,SDP,L,3,6,,12-14,3,2.0,Cashner,Butler,Rodney,2:46,N,20394,1.10,--,
27,Wednesday May 4,boxscore,COL,@,SDP,W,2,0,,13-14,3,1.0,Chatwood,Vargas,McGee,2:36,D,20034,1.01,+,
28,Thursday May 5,boxscore,COL,@,SFG,W,17,7,,14-14,1,Tied,Bergman,Cain,,3:25,N,41477,1.26,++,
29,Friday May 6,boxscore,COL,@,SFG,L,4,6,,14-15,2,1.0,Bumgarner,Bettis,Casilla,2:40,N,41358,1.27,-,
30,Saturday May 7,boxscore,COL,@,SFG,L-wo,1,2,13,14-16,3,2.0,Law,Miller,,4:20,D,41590,1.22,--,
31,Sunday May 8,boxscore,COL,@,SFG,W,2,0,,15-16,3,1.0,Butler,Samardzija,McGee,2:55,D,41593,1.14,+,
32,Monday May 9,boxscore,COL,,ARI,L,5,10,,15-17,3,1.0,Bradley,Chatwood,,3:23,N,22053,1.13,-,
33,Tuesday May 10,boxscore,COL,,ARI,L,1,5,,15-18,4,2.0,De La Rosa,Rusin,,3:08,N,23363,1.12,--,
34,Wednesday May 11,boxscore,COL,,ARI,W,8,7,,16-18,3,1.0,Germen,Clippard,McGee,3:19,D,34890,1.09,+,
35,Friday May 13,boxscore,COL,,NYM,W,5,2,,17-18,3,1.5,Gray,Harvey,McGee,2:48,N,38712,.93,++,
36,Saturday May 14,boxscore,COL,,NYM,W,7,4,,18-18,3,1.5,Butler,Verrett,McGee,3:11,N,34362,.94,+++,
37,Sunday May 15,boxscore,COL,,NYM,W,4,3,,19-18,3,1.5,Chatwood,Henderson,McGee,2:32,D,36901,1.04,++++,
38,Tuesday May 17,boxscore,COL,@,STL,W,3,1,,20-18,2,1.5,Bettis,García,McGee,2:44,N,41109,1.08,+++++,
39,Wednesday May 18,boxscore,COL,@,STL,L,0,2,,20-19,2,2.5,Wainwright,Rusin,Rosenthal,2:54,N,42618,1.13,-,
40,Thursday May 19,boxscore,COL,@,STL,L,7,13,,20-20,2,3.5,Lyons,Gray,,3:16,N,43683,1.09,--,
41,Friday May 20,boxscore,COL,@,PIT,L,1,2,,20-21,2,3.5,Cole,Butler,Melancon,2:33,N,23428,1.04,---,
42,Saturday May 21,boxscore,COL,@,PIT,W,5,1,,21-21,2,3.5,Estévez,Melancon,,3:02,N,31352,1.04,+,
43,Monday May 23,boxscore,COL,@,PIT,L,3,6,,21-22,3,5.0,Boscán,Lyles,Melancon,3:10,D,34529,1.07,-,2016-05-22 (Rain)
44,Tuesday May 24,boxscore,COL,@,BOS,L,3,8,,21-23,3,6.0,Price,De La Rosa,,2:55,N,36123,.96,--,
45,Wednesday May 25,boxscore,COL,@,BOS,L,3,10,,21-24,3,7.0,Wright,Bettis,,3:09,N,36430,.87,---,
46,Thursday May 26,boxscore,COL,@,BOS,W,8,2,,22-24,3,6.5,Gray,Buchholz,,2:51,N,36162,.77,+,
47,Friday May 27,boxscore,COL,,SFG,W,5,2,,23-24,3,5.5,Chatwood,Suárez,McGee,2:42,N,32901,1.13,++,
48,Saturday May 28,boxscore,COL,,SFG,L,5,10,,23-25,3,6.5,Gearrin,Estévez,,3:27,D,39253,1.27,-,
49,Sunday May 29,boxscore,COL,,SFG,L,3,8,,23-26,3,7.5,Cueto,Rusin,,3:25,D,42307,1.12,--,
50,Monday May 30,boxscore,COL,,CIN,L,8,11,,23-27,3,7.5,Straily,Bettis,Ramírez,3:25,D,30608,.74,---,
51,Tuesday May 31,boxscore,COL,,CIN,W,17,4,,24-27,3,7.5,Gray,Moscot,,3:07,N,20448,.70,+,
52,Wednesday Jun 1,boxscore,COL,,CIN,L,2,7,,24-28,3,7.5,Lamb,Chatwood,,2:50,N,23612,.78,-,
53,Thursday Jun 2,boxscore,COL,,CIN,L,4,11,,24-29,3,8.5,Simón,Butler,,2:44,N,28080,.73,--,
54,Friday Jun 3,boxscore,COL,@,SDP,L,0,4,,24-30,3,9.5,Pomeranz,Rusin,,2:26,N,21588,.69,---,
55,Saturday Jun 4,boxscore,COL,@,SDP,L,3,4,,24-31,3,9.5,Cashner,Bettis,Rodney,3:00,N,25503,.56,----,
56,Sunday Jun 5,boxscore,COL,@,SDP,W,10,3,,25-31,3,8.5,Gray,Perdomo,,2:56,N,26206,.53,+,
57,Monday Jun 6,boxscore,COL,@,LAD,W,6,1,,26-31,3,8.0,Chatwood,Bolsinger,,2:26,N,38964,.70,++,
58,Tuesday Jun 7,boxscore,COL,@,LAD,L-wo,3,4,,26-32,3,8.0,Jansen,Estévez,,3:17,N,40525,.80,-,
59,Wednesday Jun 8,boxscore,COL,@,LAD,W,1,0,,27-32,3,8.0,Rusin,Maeda,McGee,3:04,N,41324,.77,+,
