W/L,D/N,H/A,COL_at_bats,COL_ba,COL_hits,COL_hr,COL_kk,COL_obp,COL_walks,Opp_at_bats,Opp_ba,Opp_hits,OPP_kk,Opp_obp,Opp_walks,Opp_hr
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.173611111111114,.253,8.54861111111111,8.256944444444445,0.316,3.0208333333333335,1.4513888888888888
NaN,0,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.173611111111114,.253,8.54861111111111,8.256944444444445,0.316,3.0208333333333335,1.4513888888888888
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.27272727272727,.245,8.020979020979022,8.993006993006993,0.306,2.937062937062937,1.2657342657342658
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.27272727272727,.245,8.020979020979022,8.993006993006993,0.306,2.937062937062937,1.2657342657342658
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.27272727272727,.245,8.020979020979022,8.993006993006993,0.306,2.937062937062937,1.2657342657342658
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.83216783216783,.278,8.454545454545455,8.853146853146853,0.328,3.7412587412587412,1.118881118881119
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.83216783216783,.278,8.454545454545455,8.853146853146853,0.328,3.7412587412587412,1.118881118881119
NaN,0,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.83216783216783,.278,8.454545454545455,8.853146853146853,0.328,3.7412587412587412,1.118881118881119
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.361111111111114,.191,7.8125,8.805555555555555,0.298,2.8125,1.0069444444444444
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.361111111111114,.191,7.8125,8.805555555555555,0.298,2.8125,1.0069444444444444
NaN,0,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.361111111111114,.191,7.8125,8.805555555555555,0.298,2.8125,1.0069444444444444
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.48251748251748,.230,7.986013986013986,8.531468531468532,0.314,3.3426573426573425,1.0419580419580419
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.48251748251748,.230,7.986013986013986,8.531468531468532,0.314,3.3426573426573425,1.0419580419580419
NaN,0,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.48251748251748,.230,7.986013986013986,8.531468531468532,0.314,3.3426573426573425,1.0419580419580419
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.048611111111114,.262,8.916666666666666,7.777777777777778,0.335,3.4791666666666665,1.2708333333333333
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.048611111111114,.262,8.916666666666666,7.777777777777778,0.335,3.4791666666666665,1.2708333333333333
NaN,0,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.048611111111114,.262,8.916666666666666,7.777777777777778,0.335,3.4791666666666665,1.2708333333333333
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.99300699300699,.247,8.622377622377622,8.405594405594405,0.33,3.629370629370629,1.3636363636363635
NaN,1,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.99300699300699,.247,8.622377622377622,8.405594405594405,0.33,3.629370629370629,1.3636363636363635
NaN,0,0,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,33.99300699300699,.247,8.622377622377622,8.405594405594405,0.33,3.629370629370629,1.3636363636363635
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.00699300699301,.262,8.384615384615385,8.195804195804195,0.31,2.9160839160839163,1.027972027972028
NaN,1,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.00699300699301,.262,8.384615384615385,8.195804195804195,0.31,2.9160839160839163,1.027972027972028
NaN,0,1,33.011422044545974,0.2780159382726514,9.374643061107939,1.2050256996002284,7.342661336379212,0.3444194359919977,3.2141633352370076,34.00699300699301,.262,8.384615384615385,8.195804195804195,0.31,2.9160839160839163,1.027972027972028
