,COL_obp
0,0.35135135135135137
1,0.34285714285714286
2,0.3055555555555556
3,0.23529411764705882
4,0.3055555555555556
5,0.2727272727272727
6,0.3225806451612903
7,0.5277777777777778
8,0.4878048780487805
9,0.29411764705882354
10,0.35135135135135137
11,0.1875
14,0.2647058823529412
15,0.1935483870967742
16,0.28125
17,0.3157894736842105
20,0.32608695652173914
21,0.3548387096774194
22,0.2777777777777778
23,0.2894736842105263
24,0.3103448275862069
25,0.23333333333333334
26,0.4166666666666667
27,0.2647058823529412
28,0.35714285714285715
29,0.34210526315789475
30,0.40540540540540543
31,0.2
32,0.24242424242424243
33,0.24242424242424243
34,0.35135135135135137
35,0.43243243243243246
36,0.2571428571428571
37,0.4358974358974359
38,0.2571428571428571
39,0.3870967741935484
40,0.3888888888888889
41,0.3953488372093023
42,0.34210526315789475
43,0.16129032258064516
44,0.4358974358974359
45,0.2564102564102564
46,0.29411764705882354
47,0.21875
48,0.4523809523809524
49,0.3888888888888889
50,0.28888888888888886
51,0.28125
52,0.3142857142857143
53,0.41025641025641024
54,0.38095238095238093
55,0.3488372093023256
56,0.24242424242424243
57,0.3939393939393939
58,0.29411764705882354
59,0.20588235294117646
60,0.32608695652173914
61,0.43478260869565216
62,0.38095238095238093
63,0.3076923076923077
64,0.34285714285714286
65,0.4166666666666667
66,0.3055555555555556
67,0.40476190476190477
68,0.4473684210526316
69,0.1875
70,0.28
71,0.3235294117647059
72,0.3225806451612903
73,0.3333333333333333
74,0.2413793103448276
75,0.22580645161290322
76,0.4186046511627907
77,0.5333333333333333
78,0.36363636363636365
79,0.3333333333333333
80,0.22857142857142856
81,0.2727272727272727
82,0.40476190476190477
83,0.4146341463414634
84,0.4186046511627907
85,0.3902439024390244
86,0.3548387096774194
87,0.4523809523809524
88,0.3939393939393939
89,0.2972972972972973
90,0.34375
91,0.3157894736842105
92,0.4864864864864865
93,0.22580645161290322
94,0.2413793103448276
95,0.2571428571428571
96,0.34285714285714286
97,0.35135135135135137
98,0.41025641025641024
99,0.3888888888888889
100,0.3235294117647059
101,0.37142857142857144
102,0.2571428571428571
103,0.25806451612903225
104,0.3611111111111111
105,0.2857142857142857
106,0.3684210526315789
107,0.40476190476190477
108,0.475
109,0.4634146341463415
110,0.2727272727272727
111,0.42424242424242425
112,0.36363636363636365
113,0.26666666666666666
114,0.34375
115,0.28125
116,0.3684210526315789
117,0.358974358974359
118,0.2727272727272727
119,0.26666666666666666
120,0.375
121,0.28125
122,0.2571428571428571
123,0.4523809523809524
124,0.43243243243243246
125,0.25806451612903225
126,0.21875
127,0.3333333333333333
128,0.39473684210526316
129,0.23529411764705882
130,0.25
131,0.37142857142857144
132,0.3055555555555556
133,0.3684210526315789
134,0.21212121212121213
135,0.42105263157894735
136,0.358974358974359
137,0.47368421052631576
138,0.4878048780487805
139,0.41025641025641024
140,0.3888888888888889
141,0.35294117647058826
142,0.2903225806451613
143,0.34375
144,0.2631578947368421
145,0.4782608695652174
146,0.40540540540540543
147,0.42857142857142855
148,0.475
149,0.40540540540540543
150,0.25
151,0.5106382978723404
152,0.3142857142857143
153,0.3103448275862069
154,0.4146341463414634
155,0.38461538461538464
156,0.5227272727272727
157,0.26666666666666666
158,0.4666666666666667
159,0.4878048780487805
160,0.20588235294117646
161,0.2727272727272727
162,0.4358974358974359
163,0.2222222222222222
164,0.325
165,0.4722222222222222
166,0.24324324324324326
167,0.2571428571428571
168,0.3888888888888889
169,0.21875
170,0.5
171,0.2777777777777778
172,0.29411764705882354
173,0.22580645161290322
174,0.3333333333333333
175,0.40625
176,0.3333333333333333
177,0.3225806451612903
178,0.22580645161290322
179,0.10344827586206896
180,0.1875
181,0.38095238095238093
182,0.2857142857142857
183,0.3142857142857143
184,0.4166666666666667
185,0.2619047619047619
186,0.4722222222222222
187,0.35294117647058826
188,0.35135135135135137
189,0.36585365853658536
190,0.35135135135135137
191,0.2647058823529412
192,0.34210526315789475
193,0.43478260869565216
194,0.39473684210526316
195,0.3333333333333333
196,0.40540540540540543
197,0.23529411764705882
198,0.3142857142857143
199,0.23333333333333334
200,0.28125
201,0.2413793103448276
202,0.42857142857142855
203,0.3225806451612903
204,0.21875
205,0.46511627906976744
206,0.34146341463414637
207,0.2777777777777778
208,0.2777777777777778
209,0.35294117647058826
210,0.34285714285714286
211,0.22857142857142856
212,0.30303030303030304
213,0.3888888888888889
214,0.3611111111111111
215,0.34285714285714286
216,0.35294117647058826
217,0.3888888888888889
218,0.35294117647058826
219,0.37142857142857144
220,0.5306122448979592
221,0.4772727272727273
222,0.4146341463414634
223,0.38095238095238093
224,0.4
225,0.34210526315789475
226,0.4418604651162791
227,0.21212121212121213
228,0.2727272727272727
229,0.3055555555555556
230,0.30303030303030304
231,0.45454545454545453
232,0.47368421052631576
233,0.34375
234,0.4166666666666667
235,0.46808510638297873
236,0.34210526315789475
237,0.358974358974359
238,0.34210526315789475
239,0.34210526315789475
240,0.42105263157894735
241,0.43243243243243246
242,0.35294117647058826
243,0.42424242424242425
244,0.23529411764705882
245,0.35294117647058826
246,0.4358974358974359
247,0.26666666666666666
248,0.2571428571428571
249,0.4791666666666667
250,0.358974358974359
251,0.4418604651162791
252,0.43243243243243246
253,0.3055555555555556
254,0.3783783783783784
255,0.3235294117647059
256,0.38636363636363635
257,0.4782608695652174
258,0.3611111111111111
259,0.3076923076923077
260,0.41025641025641024
261,0.4146341463414634
262,0.375
263,0.32432432432432434
264,0.2857142857142857
265,0.22580645161290322
266,0.4772727272727273
267,0.3
268,0.3387096774193548
269,0.358974358974359
270,0.3448275862068966
271,0.4
272,0.4594594594594595
273,0.29411764705882354
274,0.3333333333333333
275,0.29411764705882354
276,0.29411764705882354
277,0.39473684210526316
278,0.4
279,0.3157894736842105
280,0.3939393939393939
281,0.2903225806451613
282,0.37142857142857144
283,0.21875
284,0.3611111111111111
287,0.3902439024390244
288,0.26666666666666666
289,0.5208333333333334
290,0.34545454545454546
291,0.34210526315789475
292,0.34285714285714286
293,0.2413793103448276
294,0.35135135135135137
295,0.35294117647058826
296,0.3225806451612903
297,0.2571428571428571
298,0.3888888888888889
299,0.4473684210526316
300,0.4222222222222222
301,0.30303030303030304
302,0.13333333333333333
303,0.3469387755102041
304,0.24242424242424243
305,0.2727272727272727
306,0.3
307,0.2903225806451613
308,0.3548387096774194
309,0.35294117647058826
310,0.45454545454545453
311,0.4222222222222222
312,0.425
313,0.2727272727272727
314,0.2727272727272727
315,0.3142857142857143
316,0.30303030303030304
317,0.2727272727272727
318,0.25806451612903225
319,0.4166666666666667
320,0.30303030303030304
321,0.38235294117647056
322,0.3409090909090909
323,0.43902439024390244
324,0.2727272727272727
325,0.24242424242424243
326,0.3333333333333333
327,0.3142857142857143
328,0.4318181818181818
329,0.3235294117647059
330,0.34210526315789475
331,0.2777777777777778
332,0.2857142857142857
333,0.3783783783783784
334,0.4
335,0.42105263157894735
336,0.4090909090909091
337,0.5384615384615384
338,0.23529411764705882
339,0.30303030303030304
340,0.3888888888888889
341,0.41304347826086957
342,0.35135135135135137
343,0.47368421052631576
344,0.46153846153846156
345,0.475
346,0.34285714285714286
347,0.3142857142857143
350,0.43478260869565216
351,0.475
352,0.3333333333333333
353,0.25
354,0.375
355,0.4864864864864865
356,0.1935483870967742
357,0.2903225806451613
358,0.35135135135135137
359,0.35135135135135137
360,0.3157894736842105
361,0.32432432432432434
362,0.4186046511627907
365,0.25
366,0.35
367,0.3225806451612903
368,0.25
369,0.06666666666666667
370,0.29411764705882354
371,0.22857142857142856
372,0.4782608695652174
375,0.40476190476190477
376,0.3888888888888889
377,0.38461538461538464
378,0.22857142857142856
379,0.2571428571428571
380,0.2857142857142857
381,0.3783783783783784
382,0.43243243243243246
383,0.3611111111111111
384,0.25
385,0.30303030303030304
386,0.3333333333333333
387,0.39473684210526316
388,0.4146341463414634
389,0.38461538461538464
390,0.5
391,0.25806451612903225
392,0.3333333333333333
393,0.35135135135135137
394,0.43902439024390244
395,0.3333333333333333
396,0.358974358974359
397,0.40625
398,0.30303030303030304
399,0.37142857142857144
400,0.28125
401,0.34285714285714286
402,0.4117647058823529
403,0.425
404,0.4117647058823529
405,0.3333333333333333
406,0.358974358974359
407,0.3333333333333333
408,0.3142857142857143
409,0.3235294117647059
410,0.2777777777777778
411,0.3783783783783784
412,0.2903225806451613
413,0.28125
414,0.3333333333333333
415,0.46511627906976744
416,0.38095238095238093
417,0.32432432432432434
418,0.3333333333333333
419,0.4318181818181818
420,0.3783783783783784
421,0.3235294117647059
422,0.3793103448275862
423,0.475
424,0.425
425,0.25
426,0.36363636363636365
427,0.375
428,0.425
429,0.3958333333333333
430,0.34210526315789475
431,0.4722222222222222
432,0.34210526315789475
433,0.28125
434,0.3783783783783784
435,0.3
436,0.40540540540540543
437,0.3888888888888889
438,0.3684210526315789
439,0.1875
440,0.47058823529411764
441,0.4146341463414634
442,0.23529411764705882
443,0.4375
444,0.5319148936170213
445,0.3333333333333333
