,COL_hits
1538,9
1539,7
1540,8
1541,4
1542,6
1543,10
1544,10
1545,16
1546,7
1547,8
1548,5
1549,13
1550,5
1551,7
1552,9
1553,7
1554,4
1555,6
1556,7
1557,11
1558,7
1559,12
1560,6
1561,12
1562,10
1563,15
1564,13
1565,11
1566,11
1567,14
1568,12
1569,7
1570,12
1571,14
1572,11
1573,6
1574,10
1575,9
1576,6
1577,11
1578,4
1579,14
1580,8
1581,9
1582,15
1583,9
1584,7
1585,9
1586,9
1587,10
1588,11
1589,7
1590,13
1591,18
1592,8
1593,11
1594,9
1595,11
1596,28
1597,8
1598,8
1599,9
1600,18
1601,9
1602,9
1603,12
1604,13
1605,10
1606,5
1607,11
1608,7
1609,8
1610,8
1611,9
1612,8
1613,8
1614,7
1615,9
1616,7
1617,7
1618,10
1619,5
1620,14
1621,13
1622,5
1623,12
1624,9
1625,14
1626,14
1627,11
1628,8
1629,13
1630,9
1631,10
1632,5
1633,11
1634,8
1635,10
1636,5
1637,14
1638,12
1639,4
1640,11
1641,14
1642,15
1643,11
1644,8
1645,10
1646,6
1647,5
1648,18
1649,15
1650,12
1651,17
1652,11
1653,12
1654,6
1655,6
1656,13
1657,13
1658,13
1659,11
1660,12
1661,10
1662,11
1663,2
1666,14
1667,15
1668,5
1669,8
1670,7
1671,9
1672,7
1675,12
1676,12
1677,14
1678,12
1679,9
1680,18
1681,14
1682,8
1683,5
1684,9
1685,14
1686,10
1687,13
1688,9
1689,8
1690,7
1691,9
1692,10
1693,11
1694,9
1695,12
1696,6
1697,7
1698,12
1699,16
1702,9
1703,12
1704,8
1705,11
1706,15
1707,8
1708,9
1709,7
1710,9
1711,4
1712,6
1713,9
1714,10
1715,13
1716,7
1717,5
1718,8
1719,9
1720,4
1721,11
1722,4
1723,14
1724,18
1725,9
1726,6
1727,8
1728,17
1729,7
1730,12
1731,5
1732,10
1733,13
1734,8
1735,5
1736,11
1737,8
1738,18
1739,12
1740,12
1741,8
1742,12
1743,5
1744,10
1745,7
1746,8
1747,24
1748,9
1749,10
1750,15
1751,14
1752,9
1753,10
1754,12
1755,19
1756,11
1757,4
1758,9
1759,10
1760,8
1761,12
1762,10
1763,14
1764,12
1765,9
1766,8
1767,10
1768,8
1769,12
1770,8
1771,13
1772,12
1773,14
1774,10
1775,6
1776,11
1777,7
1778,5
1779,7
1780,13
1781,11
1782,11
1783,14
1786,13
1787,14
1788,6
1789,9
1790,5
1791,5
1792,12
1793,9
1794,11
1795,13
1796,12
1797,11
1798,13
1799,8
1800,9
1801,9
1802,10
1803,15
1804,7
1805,5
1806,12
1807,11
1808,5
1809,5
1810,12
1811,9
1812,12
1813,8
1814,18
1815,-1
1816,-1
1817,-1
1818,-1
1819,-1
1820,-1
1821,-1
1822,-1
1823,-1
1824,-1
1825,-1
1826,-1
1827,-1
1828,-1
1829,-1
1830,-1
1831,-1
1832,-1
1833,-1
1834,-1
1835,-1
1836,-1
1837,-1
1838,-1
1839,-1
1840,-1
1841,-1
