,COL_hits
0,8
1,9
2,9
3,7
4,8
5,9
6,8
7,14
8,16
9,9
10,10
11,2
14,8
15,5
16,6
17,8
20,10
21,8
22,6
23,9
24,8
25,6
26,13
27,8
28,11
29,9
30,11
31,4
32,6
33,6
34,10
35,13
36,6
37,14
38,7
39,9
40,12
41,15
42,10
43,5
44,16
45,5
46,8
47,5
48,13
49,11
50,9
51,5
52,10
53,11
54,12
55,11
56,6
57,9
58,8
59,5
60,12
61,17
62,10
63,11
64,8
65,8
66,9
67,13
68,11
69,6
70,3
71,11
72,7
73,11
74,5
75,6
76,13
77,20
78,10
79,9
80,4
81,7
82,12
83,14
84,17
85,13
86,10
87,12
88,11
89,7
90,9
91,7
92,13
93,4
94,4
95,6
96,8
97,8
98,10
99,9
100,11
101,10
102,8
103,8
104,12
105,10
106,12
107,14
108,15
109,14
110,8
111,11
112,8
113,6
114,9
115,6
116,10
117,10
118,6
119,6
120,12
121,8
122,5
123,10
124,15
125,7
126,3
127,11
128,11
129,4
130,4
131,5
132,7
133,13
134,5
135,11
136,13
137,15
138,15
139,12
140,11
141,8
142,6
143,8
144,10
145,14
146,9
147,12
148,16
149,12
150,7
151,18
152,10
153,12
154,9
155,14
156,19
157,7
158,16
159,15
160,3
161,5
162,14
163,5
164,8
165,13
166,8
167,6
168,13
169,5
170,19
171,8
172,6
173,3
174,9
175,7
176,8
177,8
178,6
179,2
180,5
181,15
182,6
183,8
184,14
185,8
186,12
187,8
188,10
189,10
190,8
191,7
192,9
193,17
194,10
195,9
196,8
197,5
198,7
199,6
200,5
201,6
202,8
203,8
204,5
205,10
206,11
207,8
208,7
209,9
210,10
211,4
212,7
213,12
214,8
215,9
216,10
217,11
218,7
219,9
220,21
221,19
222,12
223,10
224,6
225,8
226,16
227,7
228,4
229,9
230,10
231,12
232,15
233,8
234,9
235,19
236,9
237,10
238,6
239,12
240,12
241,12
242,9
243,13
244,4
245,9
246,10
247,7
248,6
249,19
250,8
251,15
252,11
253,8
254,10
255,10
256,12
257,18
258,9
259,8
260,12
261,13
262,11
263,12
264,5
265,4
266,16
267,8
268,12
269,14
270,6
271,8
272,16
273,8
274,8
275,8
276,8
277,8
278,15
279,8
280,8
281,5
282,10
283,6
284,11
287,11
288,5
289,16
290,12
291,11
292,9
293,5
294,10
295,8
296,3
297,5
298,11
299,14
300,16
301,10
302,3
303,13
304,6
305,6
306,7
307,5
308,6
309,9
310,13
311,15
312,16
313,6
314,6
315,11
316,9
317,9
318,5
319,9
320,6
321,11
322,11
323,16
324,8
325,6
326,8
327,5
328,12
329,7
330,5
331,6
332,7
333,10
334,9
335,14
336,17
337,13
338,7
339,7
340,12
341,12
342,9
343,15
344,13
345,14
346,8
347,7
350,5
351,9
352,10
353,8
354,9
355,12
356,3
357,3
358,10
359,11
360,9
361,8
362,14
365,6
366,11
367,5
368,6
369,2
370,8
371,7
372,18
375,11
376,12
377,13
378,7
379,8
380,4
381,11
382,13
383,8
384,4
385,5
386,9
387,11
388,13
389,13
390,16
391,6
392,11
393,11
394,13
395,9
396,9
397,12
398,10
399,11
400,6
401,8
402,10
403,13
404,10
405,10
406,11
407,9
408,10
409,8
410,6
411,8
412,6
413,5
414,10
415,17
416,10
417,10
418,12
419,14
420,11
421,7
422,6
423,14
424,14
425,8
426,9
427,12
428,14
429,12
430,6
431,11
432,10
433,4
434,11
435,6
436,12
437,12
438,11
439,5
440,15
441,9
442,4
443,16
444,21
445,8
446,10
447,7
448,10
449,10
450,8
451,4
452,11
455,10
456,6
457,8
458,15
459,14
460,11
461,7
462,18
463,6
464,5
465,9
466,5
467,9
468,12
469,6
470,8
471,7
472,15
473,15
474,11
475,19
476,12
477,9
478,9
479,14
480,7
481,8
482,12
483,8
484,5
485,12
486,12
487,15
488,8
489,18
490,19
491,8
492,13
493,7
494,9
495,4
496,8
497,3
498,4
499,9
500,9
501,8
502,10
503,11
504,9
505,12
506,15
507,5
508,5
509,11
510,6
511,9
512,3
513,16
514,9
515,7
516,6
517,12
518,14
519,13
520,6
521,13
522,8
523,6
524,7
525,12
526,8
527,9
528,7
529,12
530,13
531,6
532,7
533,16
534,17
535,17
536,7
537,10
538,14
539,4
540,12
541,6
542,1
543,5
544,4
545,7
546,9
547,7
548,8
549,15
550,7
551,9
552,17
553,8
554,7
555,10
556,10
557,15
558,16
559,10
560,15
561,6
562,18
563,11
564,9
565,10
566,7
567,5
568,6
569,9
570,9
571,7
572,13
573,13
574,9
575,7
576,7
577,6
578,13
579,16
580,7
581,9
582,9
583,5
584,6
585,5
586,6
587,10
588,6
589,6
590,6
591,5
592,6
593,11
594,8
595,10
596,17
597,6
