,COL_ba
0,0.25806451612903225
1,0.28125
2,0.2647058823529412
3,0.21212121212121213
4,0.24242424242424243
5,0.2727272727272727
6,0.27586206896551724
7,0.45161290322580644
8,0.4444444444444444
9,0.2727272727272727
10,0.30303030303030304
11,0.07407407407407407
14,0.24242424242424243
15,0.16666666666666666
16,0.20689655172413793
17,0.24242424242424243
20,0.24390243902439024
21,0.2857142857142857
22,0.1875
23,0.2571428571428571
24,0.2857142857142857
25,0.20689655172413793
26,0.3939393939393939
27,0.24242424242424243
28,0.2894736842105263
29,0.2647058823529412
30,0.3333333333333333
31,0.14285714285714285
32,0.1935483870967742
33,0.2
34,0.30303030303030304
35,0.3939393939393939
36,0.1935483870967742
37,0.3888888888888889
38,0.21212121212121213
39,0.32142857142857145
40,0.36363636363636365
41,0.375
42,0.2857142857142857
43,0.16129032258064516
44,0.42105263157894735
45,0.14705882352941177
46,0.25
47,0.16666666666666666
48,0.37142857142857144
49,0.3333333333333333
50,0.21951219512195122
51,0.17857142857142858
52,0.3125
53,0.3235294117647059
54,0.3157894736842105
55,0.2894736842105263
56,0.1935483870967742
57,0.3103448275862069
58,0.25
59,0.15625
60,0.27906976744186046
61,0.3953488372093023
62,0.2777777777777778
63,0.2894736842105263
64,0.25806451612903225
65,0.27586206896551724
66,0.2647058823529412
67,0.34210526315789475
68,0.34375
69,0.1875
70,0.14285714285714285
71,0.3235294117647059
72,0.25
73,0.3235294117647059
74,0.18518518518518517
75,0.2
76,0.35135135135135137
77,0.5
78,0.3333333333333333
79,0.2727272727272727
80,0.12903225806451613
81,0.22580645161290322
82,0.32432432432432434
83,0.3684210526315789
84,0.4146341463414634
85,0.34210526315789475
86,0.3333333333333333
87,0.34285714285714286
88,0.3548387096774194
89,0.21212121212121213
90,0.3
91,0.21212121212121213
92,0.41935483870967744
93,0.14285714285714285
94,0.15384615384615385
95,0.1875
96,0.25806451612903225
97,0.25
98,0.3125
99,0.3
100,0.3235294117647059
101,0.3125
102,0.23529411764705882
103,0.25806451612903225
104,0.35294117647058826
105,0.2857142857142857
106,0.3333333333333333
107,0.358974358974359
108,0.4166666666666667
109,0.3888888888888889
110,0.25
111,0.36666666666666664
112,0.2857142857142857
113,0.21428571428571427
114,0.3
115,0.21428571428571427
116,0.30303030303030304
117,0.2857142857142857
118,0.2
119,0.21428571428571427
120,0.32432432432432434
121,0.25806451612903225
122,0.16129032258064516
123,0.3125
124,0.4166666666666667
125,0.23333333333333334
126,0.1111111111111111
127,0.3142857142857143
128,0.3235294117647059
129,0.13793103448275862
130,0.14814814814814814
131,0.18518518518518517
132,0.21875
133,0.3611111111111111
134,0.16129032258064516
135,0.34375
136,0.34210526315789475
137,0.42857142857142855
138,0.42857142857142855
139,0.36363636363636365
140,0.3333333333333333
141,0.26666666666666666
142,0.21428571428571427
143,0.2857142857142857
144,0.2631578947368421
145,0.3684210526315789
146,0.3
147,0.34285714285714286
148,0.4444444444444444
149,0.35294117647058826
150,0.22580645161290322
151,0.43902439024390244
152,0.29411764705882354
153,0.23529411764705882
154,0.2727272727272727
155,0.3684210526315789
156,0.48717948717948717
157,0.2413793103448276
158,0.4
159,0.4166666666666667
160,0.1
161,0.1724137931034483
162,0.4
163,0.19230769230769232
164,0.22857142857142856
165,0.40625
166,0.2222222222222222
167,0.1875
168,0.37142857142857144
169,0.16666666666666666
170,0.4523809523809524
171,0.23529411764705882
172,0.20689655172413793
173,0.1111111111111111
174,0.3
175,0.2692307692307692
176,0.26666666666666666
177,0.27586206896551724
178,0.2
179,0.07142857142857142
180,0.16129032258064516
181,0.39473684210526316
182,0.1935483870967742
183,0.25
184,0.3333333333333333
185,0.20512820512820512
186,0.4
187,0.26666666666666666
188,0.30303030303030304
189,0.2857142857142857
190,0.25
191,0.21875
192,0.2647058823529412
193,0.3953488372093023
194,0.30303030303030304
195,0.2903225806451613
196,0.26666666666666666
197,0.16129032258064516
198,0.22580645161290322
199,0.2222222222222222
