,COL_kk
820,10
821,10
822,13
823,7
824,10
825,7
826,10
827,10
828,4
829,8
830,4
831,7
832,15
833,9
834,12
835,16
836,10
837,7
838,6
839,7
840,9
841,10
842,12
843,3
844,13
845,8
846,4
847,6
848,7
849,10
850,15
851,8
852,7
853,13
854,9
855,12
856,5
857,7
858,6
859,3
860,11
861,4
862,7
863,3
864,5
865,10
866,6
867,10
868,8
869,10
870,12
871,9
872,7
873,12
874,11
875,12
876,9
877,8
878,11
879,4
880,12
881,9
882,10
883,6
884,6
885,14
886,9
887,11
888,6
889,4
890,11
891,10
892,10
893,7
894,5
895,4
896,10
897,7
898,9
899,4
900,10
901,10
902,7
903,7
904,8
905,8
906,13
907,9
908,7
909,7
910,10
911,8
912,10
913,10
914,9
915,6
916,9
917,7
918,10
919,7
920,11
921,8
922,9
923,11
924,11
925,5
926,11
927,6
928,9
929,7
930,11
931,12
932,4
933,9
934,13
935,9
936,9
937,7
938,13
939,5
940,4
941,11
942,16
943,6
944,4
945,8
946,13
947,11
948,12
949,9
950,14
951,8
952,12
953,7
954,12
955,8
956,6
957,5
958,12
959,8
960,7
961,5
962,12
963,5
964,9
965,10
966,8
967,14
968,14
969,9
970,6
971,6
972,10
973,7
974,9
975,3
976,11
977,9
978,13
979,11
980,5
981,9
982,4
983,8
984,5
985,7
986,17
987,7
988,9
989,7
990,7
991,12
992,11
993,6
994,7
995,6
996,11
997,10
998,7
999,6
1000,10
1001,4
1002,7
1003,7
1004,14
1005,8
1006,3
1007,10
1008,6
1009,10
1010,9
1011,12
1012,10
1013,10
1014,8
1015,12
1016,4
1017,7
1018,8
1019,7
1020,5
1021,10
1022,7
1023,5
1024,6
1025,4
1026,11
1027,12
1028,9
1029,9
1030,8
1031,8
1032,7
1033,12
1034,3
1035,10
1036,11
1037,12
1038,5
1039,7
1040,12
1041,10
1042,11
1043,7
1044,6
1045,7
1046,14
1047,9
1048,9
1049,6
1050,9
1051,5
1052,5
1053,6
1054,5
1055,13
1056,8
1057,10
1058,3
1059,4
1060,6
1061,7
1062,8
1063,8
1064,8
1067,6
1068,8
1069,8
1070,11
1071,6
1072,9
1075,8
1076,7
1077,4
1078,6
1079,6
1080,9
1081,16
1082,8
1083,9
1084,8
1085,6
1086,9
1087,8
1088,6
1089,8
1090,10
1091,3
1092,9
1093,8
1094,8
1095,11
1096,7
1097,4
1098,6
1099,6
1100,7
1101,1
1102,4
1103,5
1104,12
1105,4
1106,7
1107,8
1108,4
1109,6
1110,8
1111,6
1112,4
1113,8
1114,10
1115,9
1116,7
1117,8
1118,7
1119,11
1120,8
1121,4
1122,8
1123,9
1124,4
1125,4
1126,7
1127,12
1128,7
1129,15
1130,3
1131,5
1132,7
1133,11
1134,13
1135,6
1136,8
1137,8
1138,8
1139,11
1140,7
1141,10
1142,8
1143,8
1144,9
1145,5
1146,4
1147,10
1148,6
1149,5
1150,10
1151,4
1152,4
1153,10
1154,6
1155,9
1156,6
1157,8
1158,3
1159,9
1160,1
1161,9
1162,2
1163,5
1164,10
1165,6
1166,5
1167,6
1168,7
1169,9
1170,6
1171,12
1172,5
1173,8
1174,6
1175,8
1176,4
1177,4
1178,7
1179,10
1180,7
1181,3
1182,9
1183,7
1184,3
1185,3
1186,5
1187,5
1188,4
1189,6
1190,8
1193,9
1194,4
1195,6
1196,7
1197,14
1198,8
1199,13
1200,4
1201,7
1202,7
1203,4
1204,7
1205,6
1206,8
1207,9
1210,8
1211,7
1212,7
1213,11
1214,5
1215,11
1216,11
1217,8
1218,10
1219,6
1220,5
1221,8
1222,8
1225,12
1226,9
1227,4
1228,7
1229,7
1232,5
1233,8
1234,7
1235,4
1236,3
1237,11
